Year,Month,Day, Inflow volume [m3 d-1], Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as PO4 [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as phosphorus [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3], Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3], Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3], Inflow concentration of Ca2+ [mg m-3], Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3], Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]"," *Iron, water, unfiltered, recoverable [mg m-3]"," *Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1980,1,26,195726.0437,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,27,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,28,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,29,151687.6839,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,30,141901.3817,,,,,,,,,,,,,,,,,,,,,,,,
1980,1,31,137008.2306,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,1,132115.0795,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,2,132115.0795,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,3,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,4,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,5,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,6,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,7,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,8,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,9,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,10,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,11,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,12,117435.6262,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,13,119882.2018,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,14,119882.2018,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,15,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,16,117435.6262,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,17,110095.8996,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,18,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,19,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,20,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,21,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,22,489315.1092,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,23,1223287.773,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,24,733972.6638,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,25,440383.5983,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,26,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,27,244657.5546,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,28,225084.9502,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,29,205512.3459,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,1,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,2,156580.8349,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,3,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,4,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,5,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,6,318054.821,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,7,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,8,293589.0655,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,9,464849.3537,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,10,733972.6638,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,11,2446575.546,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,12,1467945.328,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,13,733972.6638,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,14,489315.1092,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,15,366986.3319,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,16,733972.6638,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,17,2446575.546,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,18,3425205.764,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,19,1272219.284,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,20,2060016.61,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,21,4697425.048,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,22,2201917.991,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,23,978630.2184,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,24,1100958.996,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,25,2715698.856,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,26,1382315.183,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,27,1524216.565,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,28,1908328.926,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,29,2094268.667,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,30,2094268.667,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,31,2911424.9,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,1,1827591.933,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,2,998202.8228,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,3,753545.2682,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,4,856301.4411,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,5,856301.4411,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,6,604304.1599,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,7,474635.6559,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,8,408578.1162,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,9,503994.5625,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,10,611643.8865,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,11,511334.2891,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,12,503994.5625,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,13,792690.4769,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,14,704613.7572,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,15,1536449.443,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,16,814709.6568,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,17,577391.8289,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,18,503994.5625,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,19,401238.3895,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,20,340074.0009,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,21,313161.6699,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,22,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,23,251997.2812,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,24,225084.9502,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,25,212852.0725,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,26,207958.9214,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,27,203065.7703,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,28,300928.7922,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,29,910126.1031,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,30,543139.7712,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,1,369432.9074,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,2,313161.6699,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,3,264230.159,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,4,212852.0725,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,5,193279.4681,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,6,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,7,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,8,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,9,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,10,149241.1083,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,11,149241.1083,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,12,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,13,193279.4681,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,14,381665.7852,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,15,300928.7922,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,16,212852.0725,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,17,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,18,276463.0367,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,19,347413.7275,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,20,247104.1301,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,21,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,22,161473.986,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,23,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,24,141901.3817,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,25,137008.2306,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,26,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,27,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,28,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,29,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,30,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,31,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,1,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,2,193279.4681,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,3,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,4,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,5,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,6,105202.7485,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,7,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,8,340074.0009,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,9,281356.1878,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,10,225084.9502,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,11,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,12,129668.5039,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,13,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,14,97863.02184,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,15,105202.7485,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,16,234871.2524,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,17,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,18,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,19,85630.14411,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,20,503994.5625,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,21,1149890.507,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,22,332734.2743,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,23,181046.5904,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,24,134561.655,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,25,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,26,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,27,92969.87075,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,28,308268.5188,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,29,570052.1022,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,30,445276.7494,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,1,251997.2812,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,2,161473.986,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,3,129668.5039,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,4,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,5,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,6,802476.7791,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,7,225084.9502,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,8,146794.5328,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,9,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,10,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,11,97863.02184,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,12,92969.87075,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,13,83183.56856,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,14,78290.41747,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,15,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,16,78290.41747,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,17,75843.84193,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,18,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,19,68504.11529,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,20,63610.9642,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,21,68504.11529,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,22,88076.71966,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,23,308268.5188,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,24,137008.2306,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,25,102756.1729,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,26,83183.56856,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,27,83183.56856,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,28,166367.1371,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,29,198172.6192,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,30,171260.2882,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,31,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,1,85630.14411,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,2,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,3,543139.7712,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,4,496654.8358,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,5,193279.4681,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,6,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,7,239764.4035,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,8,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,9,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,10,66057.53974,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,11,58717.8131,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,12,66057.53974,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,13,63610.9642,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,14,61164.38865,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,15,53824.66201,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,16,51378.08647,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,17,44038.35983,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,18,39145.20874,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,19,36698.63319,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,20,34252.05764,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,21,36698.63319,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,22,31805.4821,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,23,31805.4821,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,24,31805.4821,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,25,31805.4821,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,26,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,27,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,28,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,29,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,30,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,31,29358.90655,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,1,44038.35983,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,2,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,3,401238.3895,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,4,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,5,75843.84193,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,6,58717.8131,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,7,48931.51092,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,8,44038.35983,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,9,53824.66201,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,10,85630.14411,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,11,56271.23756,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,12,44038.35983,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,13,41591.78428,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,14,1891202.897,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,15,932145.283,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,16,247104.1301,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,17,149241.1083,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,18,161473.986,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,19,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,20,88076.71966,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,21,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,22,83183.56856,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,23,234871.2524,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,24,198172.6192,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,25,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,26,198172.6192,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,27,159027.4105,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,28,105202.7485,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,29,85630.14411,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,30,78290.41747,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,1,73397.26638,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,2,73397.26638,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,3,73397.26638,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,4,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,5,185939.7415,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,6,127221.9284,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,7,188386.317,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,8,114989.0507,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,9,88076.71966,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,10,78290.41747,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,11,80736.99302,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,12,122328.7773,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,13,154134.2594,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,14,134561.655,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,15,105202.7485,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,16,95416.44629,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,17,92969.87075,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,18,92969.87075,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,19,112542.4751,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,20,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,21,134561.655,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,22,256890.4323,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,23,141901.3817,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,24,107649.324,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,25,3131616.699,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,26,7266329.372,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,27,954164.4629,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,28,570052.1022,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,29,577391.8289,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,30,389005.5118,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,31,327841.1232,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,1,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,2,234871.2524,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,3,207958.9214,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,4,207958.9214,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,5,452616.476,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,6,374326.0585,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,7,437937.0227,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,8,1778660.422,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,9,782904.1747,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,10,743758.966,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,11,437937.0227,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,12,320501.3965,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,13,276463.0367,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,14,347413.7275,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,15,445276.7494,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,16,313161.6699,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,17,239764.4035,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,18,251997.2812,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,19,251997.2812,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,20,269123.3101,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,21,327841.1232,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,22,401238.3895,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,23,396345.2385,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,24,511334.2891,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,25,1974386.466,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,26,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,27,474635.6559,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,28,496654.8358,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,29,658128.8219,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,30,577391.8289,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,1,1091172.694,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,2,3645397.564,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,3,2128520.725,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,4,714400.0594,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,5,467295.9293,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,6,474635.6559,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,7,985969.945,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,8,2544438.568,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,9,3816657.852,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,10,998202.8228,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,11,611643.8865,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,12,552926.0734,,,,,,,,,,,,,,,,,,,,,,,,
