ActivityStartDate,MonitoringLocationIdentifier,ResultMeasureValue
2011-01-21,Heidelberg,4.8152
2011-01-22,Heidelberg,3.8411
2011-01-23,Heidelberg,3.5522
2011-01-24,Heidelberg,4.061733333333334
2011-01-25,Heidelberg,4.2498
2011-01-26,Heidelberg,4.0318
2011-01-27,Heidelberg,5.8911
2011-01-28,Heidelberg,5.6201
2011-01-29,Heidelberg,4.1884999999999994
2011-01-30,Heidelberg,4.3268
2011-01-31,Heidelberg,4.2942
2011-02-01,Heidelberg,3.7148
2011-02-02,Heidelberg,3.1689
2011-02-03,Heidelberg,3.9236
2011-02-04,Heidelberg,4.3343
2011-02-05,Heidelberg,4.4622
2011-02-06,Heidelberg,4.997999999999999
2011-02-07,Heidelberg,4.921499999999999
2011-02-08,Heidelberg,5.3934999999999995
2011-02-09,Heidelberg,4.691
2011-02-10,Heidelberg,3.8327999999999998
2011-02-11,Heidelberg,3.6985
2011-02-12,Heidelberg,4.3157
2011-02-13,Heidelberg,5.803999999999999
2011-02-14,Heidelberg,5.1998
2011-02-15,Heidelberg,5.5302999999999995
2011-02-16,Heidelberg,8.016300000000001
2011-02-17,Heidelberg,9.785
2011-02-18,Heidelberg,10.1697
2011-02-19,Heidelberg,10.077066666666667
2011-02-20,Heidelberg,11.0713
2011-02-21,Heidelberg,11.070775
2011-02-22,Heidelberg,11.06955
2011-02-23,Heidelberg,10.4438
2011-02-24,Heidelberg,9.7795
2011-02-25,Heidelberg,9.068
2011-02-26,Heidelberg,8.734200000000001
2011-02-27,Heidelberg,8.5907
2011-02-28,Heidelberg,7.194825
2011-03-01,Heidelberg,5.533166666666666
2011-03-02,Heidelberg,6.604466666666667
2011-03-03,Heidelberg,8.488133333333334
2011-03-04,Heidelberg,9.273399999999999
2011-03-05,Heidelberg,8.930333333333332
2011-03-06,Heidelberg,7.561133333333333
2011-03-07,Heidelberg,7.90745
2011-03-08,Heidelberg,8.73955
2011-03-09,Heidelberg,8.05555
2011-03-10,Heidelberg,7.413733333333333
2011-03-11,Heidelberg,7.450966666666666
2011-03-12,Heidelberg,8.07775
2011-03-13,Heidelberg,8.057500000000001
2011-03-14,Heidelberg,7.763833333333333
2011-03-15,Heidelberg,7.270200000000001
2011-03-16,Heidelberg,8.548
2011-03-17,Heidelberg,7.86425
2011-03-18,Heidelberg,8.517800000000001
2011-03-19,Heidelberg,7.7336
2011-03-20,Heidelberg,7.6282000000000005
2011-03-21,Heidelberg,6.839366666666666
2011-03-22,Heidelberg,6.3626
2011-03-23,Heidelberg,5.5929
2011-03-24,Heidelberg,5.7419
2011-03-25,Heidelberg,6.9397
2011-03-26,Heidelberg,6.5154000000000005
2011-03-27,Heidelberg,5.6204
2011-03-28,Heidelberg,6.241600000000001
2011-03-29,Heidelberg,4.7481
2011-03-30,Heidelberg,4.3459
2011-03-31,Heidelberg,6.1913
2011-04-01,Heidelberg,3.8905000000000003
2011-04-02,Heidelberg,3.7987
2011-04-03,Heidelberg,4.0492
2011-04-04,Heidelberg,4.186100000000001
2011-04-05,Heidelberg,8.764
2011-04-06,Heidelberg,9.8859
2011-04-07,Heidelberg,9.735199999999999
2011-04-08,Heidelberg,10.46535
2011-04-09,Heidelberg,10.949833333333332
2011-04-10,Heidelberg,10.7358
2011-04-11,Heidelberg,9.990966666666665
2011-04-12,Heidelberg,8.3202
2011-04-13,Heidelberg,7.6443
2011-04-14,Heidelberg,6.2663
2011-04-15,Heidelberg,5.6816
2011-04-16,Heidelberg,6.4684
2011-04-17,Heidelberg,7.1953000000000005
2011-04-18,Heidelberg,7.152633333333334
2011-04-19,Heidelberg,7.3006
2011-04-22,Heidelberg,9.1709
2011-04-23,Heidelberg,8.553333333333335
2011-04-24,Heidelberg,8.374833333333333
2011-04-25,Heidelberg,7.803600000000001
2011-04-26,Heidelberg,6.321833333333333
2011-04-27,Heidelberg,6.397666666666666
2011-04-28,Heidelberg,6.920533333333334
2011-04-29,Heidelberg,7.282
2011-04-30,Heidelberg,6.9104
2011-05-01,Heidelberg,6.6609
2011-05-02,Heidelberg,6.6976
2011-05-03,Heidelberg,6.8528
2011-05-04,Heidelberg,7.7123
2011-05-05,Heidelberg,7.56365
2011-05-06,Heidelberg,7.2122
2011-05-07,Heidelberg,7.4341
2011-05-08,Heidelberg,7.5618
2011-05-09,Heidelberg,7.0974
2011-05-10,Heidelberg,5.7568
2011-05-11,Heidelberg,6.7686
2011-05-12,Heidelberg,6.7093
2011-05-13,Heidelberg,6.7218
2011-05-14,Heidelberg,6.34345
2011-05-15,Heidelberg,7.6569
2011-05-16,Heidelberg,7.7036
2011-05-17,Heidelberg,7.85585
2011-05-18,Heidelberg,7.85505
2011-05-19,Heidelberg,6.790266666666668
2011-05-20,Heidelberg,6.35335
2011-05-21,Heidelberg,6.9121
2011-05-22,Heidelberg,6.867
2011-05-23,Heidelberg,6.6479
2011-05-24,Heidelberg,7.4004
2011-05-25,Heidelberg,7.631899999999999
2011-05-26,Heidelberg,5.409933333333334
2011-05-27,Heidelberg,4.420166666666667
2011-05-28,Heidelberg,4.374666666666666
2011-05-29,Heidelberg,5.494566666666667
2011-05-30,Heidelberg,5.019066666666666
2011-05-31,Heidelberg,5.478433333333332
2011-06-01,Heidelberg,5.936533333333333
2011-06-02,Heidelberg,5.7827
2011-06-06,Heidelberg,5.7345500000000005
2011-06-07,Heidelberg,5.2023
2011-06-08,Heidelberg,4.7822
2011-06-09,Heidelberg,4.3555
2011-06-10,Heidelberg,2.7965
2011-06-11,Heidelberg,4.5463
2011-06-12,Heidelberg,4.035
2011-06-13,Heidelberg,4.292433333333332
2011-06-14,Heidelberg,4.8127
2011-06-15,Heidelberg,4.2508
2011-06-16,Heidelberg,3.8247
2011-06-17,Heidelberg,3.7831
2011-06-18,Heidelberg,4.7492
2011-06-19,Heidelberg,2.9123
2011-06-20,Heidelberg,8.062275
2011-06-21,Heidelberg,12.457333333333333
2011-06-22,Heidelberg,11.2427
2011-06-23,Heidelberg,10.669
2011-06-24,Heidelberg,9.4896
2011-06-25,Heidelberg,9.4364
2011-06-26,Heidelberg,5.3333
2011-06-27,Heidelberg,5.66225
2011-06-28,Heidelberg,5.306100000000001
2011-06-29,Heidelberg,4.7139999999999995
2011-06-30,Heidelberg,4.168
2011-07-01,Heidelberg,3.7192
2011-07-02,Heidelberg,3.1682
2011-07-03,Heidelberg,2.761
2011-07-04,Heidelberg,2.4036999999999997
2011-07-05,Heidelberg,2.5233499999999998
2011-07-06,Heidelberg,2.1468
2011-07-07,Heidelberg,2.0614
2011-07-08,Heidelberg,1.6901000000000002
2011-07-09,Heidelberg,1.7966
2011-07-10,Heidelberg,1.425
2011-07-11,Heidelberg,1.5923999999999998
2011-07-12,Heidelberg,5.0203
2011-07-13,Heidelberg,6.8902
2011-07-14,Heidelberg,5.2940000000000005
2011-07-15,Heidelberg,5.069
2011-07-16,Heidelberg,4.6222
2011-07-17,Heidelberg,3.5067
2011-07-18,Heidelberg,3.2781
2011-07-19,Heidelberg,5.020849999999999
2011-07-20,Heidelberg,9.9602
2011-07-21,Heidelberg,6.4647
2011-07-22,Heidelberg,5.20955
2011-07-23,Heidelberg,7.503699999999999
2011-07-24,Heidelberg,6.7286
2011-07-25,Heidelberg,7.433825000000001
2011-07-26,Heidelberg,7.4565
2011-07-27,Heidelberg,4.502
2011-07-28,Heidelberg,3.396
2011-08-01,Heidelberg,3.2278
2011-08-02,Heidelberg,3.6662666666666666
2011-08-03,Heidelberg,3.3336
2011-08-04,Heidelberg,2.5140000000000002
2011-08-05,Heidelberg,2.7891
2011-08-06,Heidelberg,1.9545000000000001
2011-08-07,Heidelberg,3.5324
2011-08-08,Heidelberg,5.107500000000001
2011-08-09,Heidelberg,4.007
2011-08-15,Heidelberg,1.32755
2011-08-16,Heidelberg,2.2463
2011-08-17,Heidelberg,1.7326
2011-08-18,Heidelberg,1.5465
2011-08-19,Heidelberg,1.613
2011-08-20,Heidelberg,1.976
2011-08-21,Heidelberg,2.077
2011-08-22,Heidelberg,1.868566666666667
2011-08-23,Heidelberg,3.3
2011-08-24,Heidelberg,2.0098000000000003
2011-08-25,Heidelberg,4.507366666666667
2011-08-26,Heidelberg,5.104
2011-08-27,Heidelberg,4.4908
2011-08-28,Heidelberg,2.8873
2011-08-29,Heidelberg,1.8188000000000002
2011-08-30,Heidelberg,3.2526
2011-08-31,Heidelberg,2.5835999999999997
2011-09-01,Heidelberg,2.684
2011-09-02,Heidelberg,2.5909
2011-09-03,Heidelberg,2.8127
2011-09-04,Heidelberg,2.4074
2011-09-05,Heidelberg,1.6450333333333333
2011-09-06,Heidelberg,2.1723
2011-09-07,Heidelberg,1.737
2011-09-08,Heidelberg,4.32545
2011-09-09,Heidelberg,4.971900000000001
2011-09-10,Heidelberg,2.52
2011-09-11,Heidelberg,4.3859
2011-09-12,Heidelberg,3.6771499999999997
2011-09-13,Heidelberg,3.6769
2011-09-14,Heidelberg,2.7265
2011-09-15,Heidelberg,1.9477
2011-09-16,Heidelberg,2.9482
2011-09-17,Heidelberg,1.948
2011-09-21,Heidelberg,3.1446
2011-09-22,Heidelberg,2.8670999999999998
2011-09-23,Heidelberg,1.7245
2011-09-24,Heidelberg,4.0442
2011-09-25,Heidelberg,4.08315
2011-09-26,Heidelberg,3.8673
2011-09-27,Heidelberg,4.156233333333334
2011-09-28,Heidelberg,4.1268
2011-09-29,Heidelberg,4.35225
2011-09-30,Heidelberg,4.3007
2011-10-01,Heidelberg,4.418
2011-10-02,Heidelberg,4.4078
2011-10-03,Heidelberg,4.236666666666667
2011-10-06,Heidelberg,3.8358999999999996
2011-10-07,Heidelberg,3.6944
2011-10-08,Heidelberg,3.6912000000000003
2011-10-09,Heidelberg,3.6408
2011-10-10,Heidelberg,3.513
2011-10-11,Heidelberg,3.1506
2011-10-12,Heidelberg,2.8517
2011-10-13,Heidelberg,2.6992
2011-10-14,Heidelberg,2.7249
2011-10-15,Heidelberg,2.7863
2011-10-16,Heidelberg,2.8194
2011-10-17,Heidelberg,2.8342000000000005
2011-10-18,Heidelberg,2.532
2011-10-19,Heidelberg,2.92665
2011-10-20,Heidelberg,5.5025
2011-10-21,Heidelberg,4.797533333333334
2011-10-22,Heidelberg,5.121700000000001
2011-10-23,Heidelberg,5.1601
2011-10-24,Heidelberg,4.7138333333333335
2011-10-25,Heidelberg,4.0793
2011-10-26,Heidelberg,4.1157
2011-10-27,Heidelberg,4.2997000000000005
2011-10-28,Heidelberg,4.9864999999999995
2011-10-29,Heidelberg,4.9295
2011-10-30,Heidelberg,4.3098
2011-10-31,Heidelberg,3.94
2011-11-01,Heidelberg,3.6425
2011-11-02,Heidelberg,3.4812
2011-11-03,Heidelberg,3.0495
2011-11-04,Heidelberg,3.8501000000000003
2011-11-05,Heidelberg,3.6983
2011-11-06,Heidelberg,2.3023
2011-11-07,Heidelberg,3.223966666666667
2011-11-08,Heidelberg,3.6739
2011-11-09,Heidelberg,3.3478000000000003
2011-11-10,Heidelberg,3.6785
2011-11-11,Heidelberg,3.8362000000000003
2011-11-12,Heidelberg,3.4549000000000003
2011-11-13,Heidelberg,3.3251
2011-11-14,Heidelberg,2.730875
2011-11-15,Heidelberg,5.439600000000001
2011-11-16,Heidelberg,5.502266666666666
2011-11-17,Heidelberg,5.3069
2011-11-18,Heidelberg,4.9343
2011-11-19,Heidelberg,4.482
2011-11-20,Heidelberg,4.1301
2011-11-21,Heidelberg,4.2744
2011-11-22,Heidelberg,3.8207500000000003
2011-11-23,Heidelberg,4.249766666666667
2011-11-24,Heidelberg,4.162
2011-11-25,Heidelberg,5.00095
2011-11-26,Heidelberg,4.3833
2011-11-27,Heidelberg,3.87255
2011-11-28,Heidelberg,4.169366666666667
2011-11-29,Heidelberg,3.217233333333333
2011-11-30,Heidelberg,2.3234999999999997
2011-12-02,Heidelberg,3.0564999999999998
2011-12-03,Heidelberg,3.2577
2011-12-04,Heidelberg,3.2832999999999997
2011-12-05,Heidelberg,3.5773
2011-12-06,Heidelberg,2.8755
2011-12-07,Heidelberg,2.512166666666667
2011-12-08,Heidelberg,2.6894
2011-12-09,Heidelberg,3.2827
2011-12-10,Heidelberg,3.3471
2011-12-11,Heidelberg,3.36
2011-12-12,Heidelberg,3.361433333333333
2011-12-13,Heidelberg,3.3576
2011-12-14,Heidelberg,3.4348
2011-12-15,Heidelberg,4.1249
2011-12-16,Heidelberg,4.334
2011-12-17,Heidelberg,3.817
2011-12-18,Heidelberg,3.6329000000000002
2011-12-19,Heidelberg,3.4362000000000004
2011-12-20,Heidelberg,3.2889
2011-12-21,Heidelberg,3.4881
2011-12-22,Heidelberg,3.2339
2011-12-23,Heidelberg,3.2587
2011-12-24,Heidelberg,3.2648
2011-12-25,Heidelberg,3.2542999999999997
2011-12-26,Heidelberg,3.0995999999999997
2011-12-27,Heidelberg,2.9557
2011-12-28,Heidelberg,3.3326000000000002
2011-12-29,Heidelberg,3.2614
2011-12-30,Heidelberg,3.3313
2011-12-31,Heidelberg,3.5311
2012-01-01,Heidelberg,3.5631999999999997
2012-01-02,Heidelberg,3.5000999999999998
2012-01-03,Heidelberg,3.3627
2012-01-04,Heidelberg,3.3623
2012-01-05,Heidelberg,3.4419
2012-01-06,Heidelberg,3.3389
2012-01-07,Heidelberg,3.2598
2012-01-08,Heidelberg,3.1193000000000004
2012-01-09,Heidelberg,2.9682333333333335
2012-01-10,Heidelberg,3.3866
2012-01-11,Heidelberg,3.4450000000000003
2012-01-12,Heidelberg,3.379
2012-01-13,Heidelberg,3.2218
2012-01-14,Heidelberg,3.4193
2012-01-15,Heidelberg,3.3314
2012-01-16,Heidelberg,3.1643000000000003
2012-01-17,Heidelberg,4.0147
2012-01-18,Heidelberg,4.4217
2012-01-19,Heidelberg,3.8129
2012-01-23,Heidelberg,3.717333333333333
2012-01-24,Heidelberg,3.6785333333333328
2012-01-25,Heidelberg,3.6738
2012-01-26,Heidelberg,3.5342000000000002
2012-01-27,Heidelberg,3.626533333333333
2012-01-28,Heidelberg,3.4695
2012-01-29,Heidelberg,3.5293
2012-01-30,Heidelberg,3.591666666666667
2012-01-31,Heidelberg,3.6363
2012-02-01,Heidelberg,3.605
2012-02-02,Heidelberg,3.3552
2012-02-03,Heidelberg,3.2041
2012-02-04,Heidelberg,3.4337999999999997
2012-02-05,Heidelberg,3.2190000000000003
2012-02-06,Heidelberg,3.3579333333333334
2012-02-07,Heidelberg,3.4819999999999998
2012-02-08,Heidelberg,3.4193000000000002
2012-02-09,Heidelberg,3.5444000000000004
2012-02-10,Heidelberg,3.3045999999999998
2012-02-11,Heidelberg,3.411
2012-02-12,Heidelberg,3.2508999999999997
2012-02-13,Heidelberg,3.0548
2012-02-14,Heidelberg,2.8841
2012-02-15,Heidelberg,2.9268
2012-02-16,Heidelberg,2.7645
2012-02-17,Heidelberg,3.2176
2012-02-18,Heidelberg,3.2148
2012-02-19,Heidelberg,3.1891
2012-02-20,Heidelberg,2.9243666666666663
2012-02-21,Heidelberg,2.5770999999999997
2012-02-22,Heidelberg,2.6231
2012-02-23,Heidelberg,2.54135
2012-02-24,Heidelberg,3.6710333333333334
2012-02-25,Heidelberg,4.851533333333333
2012-02-26,Heidelberg,4.1094
2012-02-27,Heidelberg,3.868033333333333
2012-02-28,Heidelberg,3.5392
2012-02-29,Heidelberg,4.44355
2012-03-01,Heidelberg,4.900933333333334
2012-03-02,Heidelberg,4.708233333333333
2012-03-03,Heidelberg,5.058533333333334
2012-03-04,Heidelberg,4.447766666666667
2012-03-05,Heidelberg,4.3216
2012-03-06,Heidelberg,3.6328
2012-03-07,Heidelberg,3.461
2012-03-08,Heidelberg,3.3879
2012-03-09,Heidelberg,3.2537
2012-03-10,Heidelberg,2.9527
2012-03-11,Heidelberg,2.8255999999999997
2012-03-12,Heidelberg,2.7126
2012-03-13,Heidelberg,4.2425
2012-03-14,Heidelberg,4.135199999999999
2012-03-15,Heidelberg,3.64565
2012-03-16,Heidelberg,4.5119
2012-03-17,Heidelberg,4.2336
2012-03-18,Heidelberg,3.9403333333333332
2012-03-19,Heidelberg,4.762275
2012-03-20,Heidelberg,4.181566666666667
2012-03-21,Heidelberg,3.4528
2012-03-22,Heidelberg,3.4044
2012-03-23,Heidelberg,3.3692
2012-03-24,Heidelberg,3.1026000000000002
2012-03-25,Heidelberg,3.6039000000000003
2012-03-26,Heidelberg,3.2243
2012-03-27,Heidelberg,2.9637
2012-03-28,Heidelberg,2.9154
2012-03-29,Heidelberg,2.8024
2012-03-30,Heidelberg,1.8216999999999999
2012-03-31,Heidelberg,1.7401
2012-04-01,Heidelberg,1.57
2012-04-02,Heidelberg,2.0299
2012-04-03,Heidelberg,2.5033000000000003
2012-04-04,Heidelberg,2.5162
2012-04-05,Heidelberg,1.9346
2012-04-06,Heidelberg,1.6442
2012-04-07,Heidelberg,1.6895000000000002
2012-04-08,Heidelberg,1.8174
2012-04-09,Heidelberg,1.9746
2012-04-10,Heidelberg,1.6375000000000002
2012-04-11,Heidelberg,1.5644
2012-04-12,Heidelberg,1.7734999999999999
2012-04-13,Heidelberg,2.0408
2012-04-14,Heidelberg,1.9347
2012-04-15,Heidelberg,2.058
2012-04-16,Heidelberg,2.788866666666667
2012-04-17,Heidelberg,2.1736
2012-04-18,Heidelberg,2.2912999999999997
2012-04-19,Heidelberg,2.0404
2012-04-20,Heidelberg,1.8416
2012-04-21,Heidelberg,1.6945000000000001
2012-04-22,Heidelberg,1.5372
2012-04-23,Heidelberg,1.9637
2012-04-24,Heidelberg,2.0465999999999998
2012-04-25,Heidelberg,2.2709
2012-04-26,Heidelberg,2.1189999999999998
2012-04-27,Heidelberg,1.816
2012-04-28,Heidelberg,1.8811
2012-04-29,Heidelberg,2.1296999999999997
2012-04-30,Heidelberg,1.8508666666666667
2012-05-01,Heidelberg,2.4941999999999998
2012-05-02,Heidelberg,3.0887
2012-05-03,Heidelberg,2.1732
2012-05-04,Heidelberg,7.2592
2012-05-05,Heidelberg,7.865133333333333
2012-05-06,Heidelberg,11.27155
2012-05-07,Heidelberg,6.531200000000001
2012-05-10,Heidelberg,11.221449999999999
2012-05-11,Heidelberg,7.0408
2012-05-12,Heidelberg,4.6261
2012-05-13,Heidelberg,3.6287000000000003
2012-05-14,Heidelberg,2.3057499999999997
2012-05-21,Heidelberg,2.44255
2012-05-22,Heidelberg,2.0686999999999998
2012-05-23,Heidelberg,1.7900999999999998
2012-05-24,Heidelberg,1.6806999999999999
2012-05-25,Heidelberg,1.6305
2012-05-26,Heidelberg,1.6063
2012-05-27,Heidelberg,1.3943
2012-05-28,Heidelberg,1.0299
2012-05-29,Heidelberg,3.72
2012-05-30,Heidelberg,17.2787
2012-05-31,Heidelberg,15.9662
2012-06-01,Heidelberg,9.2025
2012-06-02,Heidelberg,9.4435
2012-06-03,Heidelberg,11.1094
2012-06-04,Heidelberg,9.481566666666666
2012-06-05,Heidelberg,4.9629
2012-06-06,Heidelberg,7.5534
2012-06-07,Heidelberg,5.1465
2012-06-08,Heidelberg,4.5169999999999995
2012-06-09,Heidelberg,4.1419
2012-06-10,Heidelberg,3.7348
2012-06-11,Heidelberg,3.1662
2012-06-12,Heidelberg,2.7914
2012-06-13,Heidelberg,4.0843
2012-06-14,Heidelberg,3.1117
2012-06-15,Heidelberg,1.5659
2012-06-16,Heidelberg,1.2915999999999999
2012-06-17,Heidelberg,1.2949
2012-06-18,Heidelberg,2.7348500000000002
2012-06-19,Heidelberg,8.321466666666666
2012-06-20,Heidelberg,12.93045
2012-06-21,Heidelberg,8.7211
2012-06-22,Heidelberg,7.2135
2012-06-23,Heidelberg,4.8026
2012-06-24,Heidelberg,3.4206
2012-06-25,Heidelberg,2.738766666666667
2012-06-26,Heidelberg,2.5406
2012-06-27,Heidelberg,2.2329
2012-06-28,Heidelberg,2.2761
2012-06-29,Heidelberg,1.1885
2012-06-30,Heidelberg,1.8719000000000001
2012-07-01,Heidelberg,1.8269000000000002
2012-07-02,Heidelberg,1.9497
2012-07-03,Heidelberg,2.3223000000000003
2012-07-04,Heidelberg,1.9456000000000002
2012-07-05,Heidelberg,1.9983
2012-07-06,Heidelberg,2.6356
2012-07-07,Heidelberg,2.3841
2012-07-08,Heidelberg,1.8771
2012-07-09,Heidelberg,1.3911
2012-07-10,Heidelberg,1.3366
2012-07-11,Heidelberg,1.6989999999999998
2012-07-12,Heidelberg,1.6109
2012-07-13,Heidelberg,1.899
2012-07-14,Heidelberg,2.1536999999999997
2012-07-15,Heidelberg,2.0347
2012-07-16,Heidelberg,1.7433666666666667
2012-07-17,Heidelberg,1.7035
2012-07-18,Heidelberg,2.6661
2012-07-19,Heidelberg,2.7352
2012-07-20,Heidelberg,1.68655
2012-07-21,Heidelberg,2.7920499999999997
2012-07-22,Heidelberg,2.0934
2012-07-23,Heidelberg,2.1462333333333334
2012-07-24,Heidelberg,1.7978
2012-07-25,Heidelberg,1.8294
2012-07-26,Heidelberg,1.4193
2012-07-27,Heidelberg,1.5753
2012-07-28,Heidelberg,1.9057
2012-07-29,Heidelberg,2.141
2012-07-30,Heidelberg,1.8341666666666665
2012-07-31,Heidelberg,2.8216
2012-08-01,Heidelberg,3.8278
2012-08-02,Heidelberg,3.0173
2012-08-03,Heidelberg,2.0505
2012-08-04,Heidelberg,1.8045
2012-08-05,Heidelberg,1.7845
2012-08-06,Heidelberg,2.280066666666667
2012-08-07,Heidelberg,2.2965
2012-08-08,Heidelberg,1.7793
2012-08-09,Heidelberg,1.4712999999999998
2012-08-10,Heidelberg,2.4005
2012-08-11,Heidelberg,3.4035
2012-08-12,Heidelberg,4.9389
2012-08-13,Heidelberg,3.4512
2012-08-14,Heidelberg,3.0092000000000003
2012-08-15,Heidelberg,2.1244
2012-08-16,Heidelberg,2.0525
2012-08-17,Heidelberg,2.2192
2012-08-18,Heidelberg,2.5585999999999998
2012-08-19,Heidelberg,1.9148999999999998
2012-08-20,Heidelberg,1.6191000000000002
2012-08-21,Heidelberg,1.5053999999999998
2012-08-22,Heidelberg,2.1548
