OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Strontium,Total,1230.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sodium,Total,18.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Lead,Total,2.2,ug/l,,Final,,Actual,,,,,,,,,,,,,SM 3113B,21OHIO_WQX,SM 3113B,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total dissolved solids,Total,396.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540C,21OHIO_WQX,SM 2540C,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Selenium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Ammonia,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.05,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,"Biochemical oxygen demand, standard conditions",Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Magnesium,Total,20.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Iron,Total,2630.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Barium,Total,48.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Copper,Total,4.6,ug/l,,Final,,Actual,,,,,,,,,,,,,SM 3113B,21OHIO_WQX,SM 3113B,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total suspended solids,Total,20.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540D,21OHIO_WQX,SM 2540D,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Nitrite,Total,0.024,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 353.2,21OHIO_WQX,USEPA 353.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Nickel,Total,4.4,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Zinc,Total,13.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Aluminum,Total,2050.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Hardness, Ca, Mg",Total,267.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Carbonaceous biochemical oxygen demand, standard conditions",Total,4.0,mg/l,,Final,,Actual,,,,,,,,,,,,,OEPA 310.2,21OHIO_WQX,OEPA 310.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C52834,Sample-Routine,Water,,2008-04-15,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100020,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Chromium,Total,2.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Ammonia,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.05,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Barium,Total,45.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Cadmium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,0.2,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Selenium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Chromium,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Lead,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total dissolved solids,Total,410.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540C,21OHIO_WQX,SM 2540C,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Sulfate,Total,67.7,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 375.2,21OHIO_WQX,USEPA 375.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Zinc,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,10.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Carbonaceous biochemical oxygen demand, standard conditions",Total,3.2,mg/l,,Final,,Actual,,,,,,,,,,,,,OEPA 310.2,21OHIO_WQX,OEPA 310.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,Arsenic,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,ug/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Calcium,Total,89.0,mg/l,,Final,,Actual,,,,,,,,,,,,,OEPA Method,21OHIO_WQX,OEPA Method,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,"Hardness, Ca, Mg",Total,321.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Magnesium,Total,24.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Phosphorus,Total,0.056,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 365.4,21OHIO_WQX,USEPA 365.4,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Manganese,Total,13.0,ug/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Kjeldahl nitrogen,Total,0.44,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 351.2,21OHIO_WQX,USEPA 351.2,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Potassium,Total,2.0,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 200.7,21OHIO_WQX,USEPA 200.7,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Total suspended solids,Total,8.0,mg/l,,Final,,Actual,,,,,,,,,,,,,SM 2540D,21OHIO_WQX,SM 2540D,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Orthophosphate,Total,0.037,mg/l,,Final,,Actual,,,,,,,,,,,,,OEPA Method,21OHIO_WQX,OEPA Method,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),Present Below Quantification Limit,"Biochemical oxygen demand, standard conditions",Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,Practical Quantitation Limit,2.0,mg/l,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Chloride,Total,43.4,mg/l,,Final,,Actual,,,,,,,,,,,,,USEPA 325.1,21OHIO_WQX,USEPA 325.1,,DES,,,,,,,STORET
21OHIO_WQX,Division of Surface water (Ohio),21OHIO_WQX-C53160,Sample-Routine,Water,,2008-05-22,,,,,,,,,,,,,1053,Ohio EPA,21OHIO_WQX-S02P08,100876,,,,OH - Water,OEPA Surface Water Sample Collection Method,OEPA Surface Water Sample Collection Method,Water Sampler (Other),,Copper,Total,2.9,ug/l,,Final,,Actual,,,,,,,,,,,,,SM 3113B,21OHIO_WQX,SM 3113B,,DES,,,,,,,STORET
