,Year,Month,Day,Inflow volume [m3 d-1],Inflow temperature [°C],*Suspended sediment concentration [mg m-3],"*Orthophosphate, water, filtered, as phosphorus [mg m-3]","*Phosphorus, water, unfiltered, as phosphorus [mg m-3]","*Phosphorus, water, filtered, as phosphorus [mg m-3]","*Orthophosphate, water, filtered, as PO4 [mg m-3]",Inflow concentration of chlorophyll-a (Chla-P) [mg m-3],Inflow concentration of dissolved organic carbon (DOC) [mg m-3],Inflow concentration of dissolved inorganic carbon (DIC) [mg m-3],Inflow concentration of O2 [mg m-3],Inflow concentration of NO3 [mg m-3],Inflow concentration of NH4 [mg m-3],Inflow concentration of SO4 [mg m-3],Inflow concentration of aqueous iron (Fe2+) [mg m-3],Inflow concentration of Ca2+ [mg m-3],Inflow pH [-],Inflow concentration of CH4 [mg m-3],Inflow concentration of total solid iron (Fe3+) [mg m-3],Inflow concentration of aluminum (Al3+) [mg m-3],Inflow concentration of dissolved silica [mg m-3],"*Iron, suspended sediment, recoverable [mg m-3]","*Iron, water, unfiltered, recoverable [mg m-3]","*Iron, water, filtered [mg m-3]","*Suspended solids, water, unfiltered [mg m-3]"
1983-04-16,1983,4,16,74987540.49,8.3,708000.0,,,,,,,,9600.0,,,,,,7.466666666666667,,,,,,,,
1983-04-17,1983,4,17,58228498.0,7.6,458000.0,,,,,,,,10800.0,,,,,,7.488888888888889,,,,,,,,
1983-04-18,1983,4,18,40613154.07,6.8,330000.0,,,,,,,,10200.0,,,,,,7.511111111111111,,,,,,,,
1983-04-19,1983,4,19,30215207.99,6.3,262000.0,,,,,,,,10500.0,,,,,,7.533333333333333,,,,,,,,
1983-04-20,1983,4,20,24918371.94,6.4,185000.0,,,,,,,,10900.0,,,,,,7.555555555555556,,,,,,,,
1983-04-21,1983,4,21,19438042.71,7.1,145000.0,,,,,,,,10600.0,,,,,,7.577777777777778,,,,,,,,
1983-04-22,1983,4,22,16220795.87,8.1,110000.0,,,,,,,,9900.0,,,,,,7.6000000000000005,,,,,,,,
1983-04-23,1983,4,23,12807822.99,9.6,82000.0,,,,,,,,9400.0,,,,,,7.622222222222223,,,,,,,,
1983-04-24,1983,4,24,10936192.69,9.4,78000.0,,,,,,,,10200.0,,,,,,7.644444444444445,,,,,,,,
1983-04-25,1983,4,25,9382617.218,9.9,76000.0,,,,,,,,10100.0,,,,,,7.666666666666667,,,,,,,,
1983-04-26,1983,4,26,8110397.935,11.5,52000.0,,,,,,,,9900.0,,,,,,7.688888888888889,,,,,,,,
1983-04-27,1983,4,27,7046137.573,13.5,34000.0,,,,,,,,10300.0,,,,,,7.711111111111111,,,,,,,,
1983-04-28,1983,4,28,6654685.485,13.9,35000.0,,,,,,,,10200.0,,,,,,7.733333333333333,,,,,,,,
1983-04-29,1983,4,29,6410027.931,12.9,30000.0,,,,,,,,10500.0,,,,,,7.7555555555555555,,,,,,,,
1983-04-30,1983,4,30,8856603.477,13.0,34000.0,,,,,,,,10000.0,,,,,,7.777777777777778,,,,,,,,
1983-05-01,1983,5,1,23903043.09,11.8,72000.0,,,,,,,,9400.0,,,,,,7.8,,,,,,,,
1983-05-02,1983,5,2,78045759.92,12.0,258000.0,,,,,,,,8900.0,,,,,,7.822222222222222,,,,,,,,
1983-05-03,1983,5,3,117313297.4,12.3,840000.0,,,,,,,,8300.0,,,,,,7.844444444444445,,,,,,,,
1983-05-04,1983,5,4,119759873.0,12.1,765000.0,,,,,,,,8300.0,,,,,,7.866666666666667,,,,,,,,
1983-05-05,1983,5,5,98719323.28,12.2,502000.0,,,,,,,,8500.0,,,,,,7.888888888888889,,,,,,,,
1983-05-06,1983,5,6,72540964.94,12.8,372000.0,,,,,,,,8600.0,,,,,,7.911111111111111,,,,,,,,
1983-05-07,1983,5,7,57127539.0,13.3,290000.0,,,,,,,,8500.0,,,,,,7.933333333333334,,,,,,,,
1983-05-08,1983,5,8,44894661.27,13.2,240000.0,,,,,,,,8700.0,,,,,,7.955555555555556,,,,,,,,
1983-05-09,1983,5,9,31560824.55,13.1,202000.0,,,,,,,,8700.0,,,,,,7.977777777777778,,,,,,,,
1983-05-10,1983,5,10,27768632.45,15.0,162000.0,100.0,290.0,100.0,307.0,,,,9800.0,,90.0,42000.0,,53000.0,8.0,,,40.0,6500.0,,,20.0,
1983-05-11,1983,5,11,22557426.54,15.85,115000.0,98.95348837209302,287.90697674418607,99.4186046511628,303.7906976744186,,,,10050.0,,89.1046511627907,42360.46511627907,,52930.232558139534,8.003896103896103,,,40.0,6428.2558139534885,,,20.0,
1983-05-12,1983,5,12,17615343.94,16.7,80000.0,97.90697674418604,285.8139534883721,98.83720930232558,300.5813953488372,,,,10300.0,,88.20930232558139,42720.93023255814,,52860.46511627907,8.007792207792209,,,40.0,6356.511627906977,,,20.0,
1983-05-13,1983,5,13,14153439.54,16.3,66000.0,96.86046511627907,283.72093023255815,98.25581395348837,297.37209302325584,,,,10500.0,,87.31395348837209,43081.395348837206,,52790.6976744186,8.011688311688312,,,40.0,6284.767441860465,,,20.0,
1983-05-14,1983,5,14,12171713.34,17.1,58000.0,95.81395348837209,281.62790697674416,97.67441860465117,294.16279069767444,,,,10300.0,,86.4186046511628,43441.86046511628,,52720.93023255814,8.015584415584415,,,40.0,6213.023255813953,,,20.0,
1983-05-15,1983,5,15,10618137.87,15.9,55000.0,94.76744186046511,279.5348837209302,97.09302325581395,290.95348837209303,,,,10200.0,,85.52325581395348,43802.32558139535,,52651.16279069767,8.019480519480519,,,40.0,6141.279069767442,,,20.0,
1983-05-16,1983,5,16,9541644.63,14.9,53000.0,93.72093023255815,277.4418604651163,96.51162790697674,287.74418604651163,,,,11100.0,,84.62790697674419,44162.79069767442,,52581.395348837206,8.023376623376624,,,40.0,6069.53488372093,,,20.0,
1983-05-17,1983,5,17,8122630.812999999,15.5,51000.0,92.67441860465117,275.3488372093023,95.93023255813954,284.5348837209302,,,,11300.0,,83.73255813953489,44523.25581395349,,52511.62790697674,8.027272727272727,,,40.0,5997.790697674419,,,20.0,
1983-05-18,1983,5,18,7290795.127,15.2,46000.0,91.62790697674419,273.25581395348837,95.34883720930233,281.3255813953488,,,,11400.0,,82.83720930232558,44883.72093023256,,52441.86046511628,8.03116883116883,,,40.0,5926.0465116279065,,,20.0,
1983-05-19,1983,5,19,7046137.573,15.1,48000.0,90.5813953488372,271.16279069767444,94.76744186046511,278.1162790697674,,,,10900.0,,81.94186046511628,45244.186046511626,,52372.09302325582,8.035064935064936,,,40.0,5854.302325581395,,,20.0,
1983-05-20,1983,5,20,6251000.52,15.7,42000.0,89.53488372093022,269.06976744186045,94.18604651162791,274.90697674418607,,,,11700.0,,81.04651162790698,45604.651162790695,,52302.32558139535,8.03896103896104,,,40.0,5782.558139534884,,,20.0,
1983-05-21,1983,5,21,5981877.21,17.0,38000.0,88.48837209302326,266.9767441860465,93.6046511627907,271.69767441860466,,,,12300.0,,80.15116279069767,45965.11627906977,,52232.558139534885,8.042857142857143,,,40.0,5710.813953488372,,,20.0,
1983-05-22,1983,5,22,6997206.062000001,17.9,34000.0,87.44186046511628,264.8837209302326,93.02325581395348,268.48837209302326,,,,11600.0,,79.25581395348837,46325.58139534884,,52162.79069767442,8.046753246753246,,,40.0,5639.069767441861,,,20.0,
1983-05-23,1983,5,23,10581439.24,17.7,33000.0,86.3953488372093,262.7906976744186,92.44186046511628,265.27906976744185,,,,11500.0,,78.36046511627907,46686.04651162791,,52093.023255813954,8.050649350649351,,,40.0,5567.325581395349,,,20.0,
1983-05-24,1983,5,24,13994412.12,17.8,41000.0,85.34883720930233,260.69767441860466,91.86046511627907,262.06976744186045,,,,13000.0,,77.46511627906976,47046.51162790698,,52023.25581395349,8.054545454545455,,,40.0,5495.581395348837,,,20.0,
1983-05-25,1983,5,25,12379672.26,17.7,38000.0,84.30232558139535,258.6046511627907,91.27906976744185,258.8604651162791,,,,11500.0,,76.56976744186046,47406.976744186046,,51953.48837209302,8.058441558441558,,,40.0,5423.837209302325,,,20.0,
1983-05-26,1983,5,26,10862795.43,16.6,39000.0,83.25581395348837,256.51162790697674,90.69767441860465,255.65116279069767,,,,10400.0,,75.67441860465117,47767.441860465115,,51883.72093023256,8.062337662337663,,,40.0,5352.093023255814,,,20.0,
1983-05-27,1983,5,27,9296987.075,16.7,40000.0,82.20930232558139,254.41860465116278,90.11627906976744,252.4418604651163,,,,10300.0,,74.77906976744185,48127.90697674418,,51813.95348837209,8.066233766233767,,,40.0,5280.3488372093025,,,20.0,
1983-05-28,1983,5,28,8110397.935,17.1,48000.0,81.16279069767441,252.32558139534882,89.53488372093022,249.2325581395349,,,,9500.0,,73.88372093023256,48488.37209302325,,51744.186046511626,8.07012987012987,,,40.0,5208.60465116279,,,20.0,
1983-05-29,1983,5,29,7510986.927,17.2,40000.0,80.11627906976744,250.2325581395349,88.95348837209302,246.02325581395348,,,,9700.0,,72.98837209302326,48848.83720930233,,51674.41860465116,8.074025974025973,,,40.0,5136.860465116279,,,20.0,
1983-05-30,1983,5,30,6923808.796,16.6,44000.0,79.06976744186046,248.13953488372093,88.37209302325581,242.81395348837208,,,,9800.0,,72.09302325581396,49209.3023255814,,51604.651162790695,8.077922077922079,,,40.0,5065.116279069767,,,20.0,
1983-05-31,1983,5,31,6348863.542,15.4,42000.0,78.02325581395348,246.04651162790697,87.79069767441861,239.6046511627907,,,,10100.0,,71.19767441860465,49569.767441860466,,51534.88372093023,8.081818181818182,,,40.0,4993.372093023256,,,20.0,
1983-06-01,1983,6,1,5945178.5770000005,16.3,46000.0,76.97674418604652,243.95348837209303,87.20930232558139,236.3953488372093,,,,10600.0,,70.30232558139535,49930.232558139534,,51465.11627906977,8.085714285714285,,,40.0,4921.627906976744,,,20.0,
1983-06-02,1983,6,2,5602658.001,17.0,42000.0,75.93023255813954,241.86046511627907,86.62790697674419,233.18604651162792,,,,10500.0,,69.40697674418604,50290.6976744186,,51395.348837209305,8.08961038961039,,,40.0,4849.883720930233,,,20.0,
1983-06-03,1983,6,3,4905383.97,17.1,42000.0,74.88372093023256,239.7674418604651,86.04651162790698,229.97674418604652,,,,9700.0,,68.51162790697674,50651.16279069768,,51325.58139534884,8.093506493506494,,,40.0,4778.139534883721,,,20.0,
1983-06-04,1983,6,4,4783055.193,17.6,41000.0,73.83720930232558,237.67441860465115,85.46511627906976,226.7674418604651,,,,10600.0,,67.61627906976744,51011.62790697675,,51255.813953488374,8.097402597402597,,,40.0,4706.395348837209,,,20.0,
1983-06-05,1983,6,5,4550630.516,18.7,41000.0,72.7906976744186,235.5813953488372,84.88372093023256,223.5581395348837,,,,11300.0,,66.72093023255815,51372.09302325582,,51186.04651162791,8.1012987012987,,,40.0,4634.6511627906975,,,20.0,
1983-06-06,1983,6,6,5027712.7469999995,18.4,30000.0,71.74418604651163,233.48837209302326,84.30232558139535,220.34883720930233,,,,9200.0,,65.82558139534883,51732.558139534885,,51116.27906976744,8.105194805194806,,,40.0,4562.906976744186,,,20.0,
1983-06-07,1983,6,7,8770973.332999999,17.5,41000.0,70.69767441860465,231.3953488372093,83.72093023255815,217.13953488372093,,,,9100.0,,64.93023255813954,52093.023255813954,,51046.51162790698,8.10909090909091,,,40.0,4491.162790697675,,,20.0,
1983-06-08,1983,6,8,10936192.69,18.1,55000.0,69.65116279069767,229.30232558139534,83.13953488372093,213.93023255813955,,,,9800.0,,64.03488372093022,52453.48837209302,,50976.74418604651,8.112987012987013,,,40.0,4419.418604651162,,,20.0,
1983-06-09,1983,6,9,9223589.808,18.9,54000.0,68.6046511627907,227.2093023255814,82.55813953488372,210.72093023255815,,,,10600.0,,63.13953488372093,52813.95348837209,,50906.976744186046,8.116883116883118,,,40.0,4347.674418604651,,,20.0,
1983-06-10,1983,6,10,7266329.372,20.7,46000.0,67.55813953488372,225.11627906976744,81.97674418604652,207.51162790697674,,,,11800.0,,62.24418604651163,53174.41860465116,,50837.20930232558,8.120779220779221,,,40.0,4275.930232558139,,,20.0,
1983-06-11,1983,6,11,8281658.223999999,21.9,56000.0,66.51162790697674,223.02325581395348,81.3953488372093,204.30232558139534,,,,11600.0,,61.348837209302324,53534.88372093023,,50767.441860465115,8.124675324675325,,,40.0,4204.186046511628,,,20.0,
1983-06-12,1983,6,12,7009438.94,23.2,51000.0,65.46511627906976,220.93023255813952,80.81395348837209,201.09302325581396,,,,10600.0,,60.45348837209302,53895.348837209305,,50697.67441860465,8.128571428571428,,,40.0,4132.441860465116,,,20.0,
1983-06-13,1983,6,13,5198973.035,24.0,53000.0,64.41860465116278,218.83720930232556,80.23255813953489,197.88372093023256,,,,9500.0,,59.55813953488372,54255.813953488374,,50627.90697674418,8.132467532467533,,,40.0,4060.6976744186045,,,20.0,
1983-06-14,1983,6,14,4085781.162,24.9,51000.0,63.372093023255815,216.74418604651163,79.65116279069767,194.67441860465118,,,,9800.0,,58.66279069767442,54616.27906976744,,50558.13953488372,8.136363636363637,,,40.0,3988.953488372093,,,20.0,
1983-06-15,1983,6,15,3205013.966,24.6,56000.0,62.325581395348834,214.65116279069767,79.06976744186046,191.46511627906978,,,,9900.0,,57.76744186046511,54976.74418604651,,50488.37209302325,8.14025974025974,,,40.0,3917.209302325581,,,20.0,
1983-06-16,1983,6,16,3045986.555,24.8,60000.0,61.279069767441854,212.5581395348837,78.48837209302326,188.25581395348837,,,,8900.0,,56.872093023255815,55337.20930232558,,50418.604651162794,8.144155844155845,,,40.0,3845.4651162790697,,,20.0,
1983-06-17,1983,6,17,3339575.62,24.7,51000.0,60.23255813953488,210.46511627906978,77.90697674418604,185.04651162790697,,,,7100.0,,55.97674418604651,55697.67441860465,,50348.83720930233,8.148051948051949,,,40.0,3773.720930232558,,,20.0,
1983-06-18,1983,6,18,2948123.5330000003,24.6,53000.0,59.18604651162791,208.37209302325581,77.32558139534883,181.8372093023256,,,,6400.0,,55.081395348837205,56058.139534883725,,50279.06976744186,8.151948051948052,,,40.0,3701.9767441860463,,,20.0,
1983-06-19,1983,6,19,2654534.4680000003,23.6,54000.0,58.13953488372093,206.27906976744185,76.74418604651163,178.62790697674419,,,,6300.0,,54.18604651162791,56418.604651162794,,50209.3023255814,8.155844155844155,,,40.0,3630.232558139535,,,20.0,
1983-06-20,1983,6,20,2186015.251,22.5,50000.0,57.09302325581395,204.1860465116279,76.16279069767441,175.41860465116278,,,,6600.0,,53.2906976744186,56779.06976744186,,50139.53488372093,8.15974025974026,,,40.0,3558.4883720930234,,,20.0,
1983-06-21,1983,6,21,2108948.121,23.8,54000.0,56.04651162790697,202.09302325581393,75.5813953488372,172.2093023255814,,,,7500.0,,52.3953488372093,57139.53488372093,,50069.767441860466,8.163636363636364,,,40.0,3486.7441860465115,,,20.0,
1983-06-22,1983,6,22,2204364.567,24.5,50000.0,55.0,200.0,75.0,169.0,,,,8500.0,,51.5,57500.0,,50000.0,8.167532467532467,,,40.0,3415.0,,,20.0,
1983-06-23,1983,6,23,2223937.172,26.0,51000.0,53.95348837209302,197.90697674418604,74.41860465116278,165.7906976744186,,,,10600.0,,50.604651162790695,57860.46511627907,,49930.232558139534,8.171428571428573,,,40.0,3343.2558139534885,,,20.0,
1983-06-24,1983,6,24,2127297.438,26.9,48000.0,52.90697674418604,195.81395348837208,73.83720930232558,162.58139534883722,,,,11700.0,,49.70930232558139,58220.93023255814,,49860.46511627907,8.175324675324676,,,40.0,3271.5116279069766,,,20.0,
1983-06-25,1983,6,25,2031880.991,27.0,49000.0,51.860465116279066,193.72093023255815,73.25581395348837,159.37209302325581,,,,10500.0,,48.81395348837209,58581.395348837206,,49790.6976744186,8.17922077922078,,,40.0,3199.767441860465,,,20.0,
1983-06-26,1983,6,26,1900989.2,27.4,41000.0,50.81395348837209,191.62790697674419,72.67441860465117,156.1627906976744,,,,10700.0,,47.91860465116279,58941.860465116275,,49720.93023255814,8.183116883116883,,,40.0,3128.0232558139533,,,20.0,
1983-06-27,1983,6,27,1783553.573,27.2,42000.0,49.76744186046511,189.53488372093022,72.09302325581396,152.95348837209303,,,,9100.0,,47.02325581395348,59302.32558139535,,49651.16279069767,8.187012987012988,,,40.0,3056.279069767442,,,20.0,
1983-06-28,1983,6,28,15743713.64,25.2,100000.0,48.72093023255813,187.44186046511626,71.51162790697674,149.74418604651163,,,,6200.0,,46.127906976744185,59662.79069767442,,49581.395348837206,8.190909090909091,,,40.0,2984.5348837209303,,,20.0,
1983-06-29,1983,6,29,32417125.99,22.0,310000.0,47.67441860465116,185.3488372093023,70.93023255813954,146.53488372093022,,,,6400.0,,45.23255813953488,60023.25581395349,,49511.62790697675,8.194805194805195,,,40.0,2912.7906976744184,,,20.0,
1983-06-30,1983,6,30,24502454.1,21.2,415000.0,46.627906976744185,183.25581395348837,70.34883720930233,143.32558139534885,,,,6500.0,,44.33720930232558,60383.72093023256,,49441.86046511628,8.1987012987013,,,40.0,2841.046511627907,,,20.0,
1983-07-01,1983,7,1,24771577.41,21.9,260000.0,45.581395348837205,181.1627906976744,69.76744186046511,140.11627906976744,,,,6800.0,,43.44186046511628,60744.18604651163,,49372.09302325582,8.202597402597403,,,40.0,2769.302325581395,,,20.0,
1983-07-02,1983,7,2,21578796.32,22.7,244000.0,44.534883720930225,179.06976744186045,69.18604651162791,136.90697674418604,,,,6700.0,,42.54651162790697,61104.6511627907,,49302.32558139535,8.206493506493507,,,40.0,2697.5581395348836,,,20.0,
1983-07-03,1983,7,3,22068111.43,24.2,230000.0,43.48837209302325,176.97674418604652,68.6046511627907,133.69767441860466,,,,6500.0,,41.651162790697676,61465.11627906977,,49232.558139534885,8.21038961038961,,,40.0,2625.813953488372,,,20.0,
1983-07-04,1983,7,4,20135316.74,24.3,215000.0,42.44186046511628,174.88372093023256,68.02325581395348,130.48837209302326,,,,6600.0,,40.75581395348837,61825.58139534884,,49162.79069767442,8.214285714285715,,,40.0,2554.06976744186,,,20.0,
1983-07-05,1983,7,5,21701125.09,22.9,192000.0,41.3953488372093,172.7906976744186,67.44186046511628,127.27906976744185,,,,6900.0,,39.860465116279066,62186.04651162791,,49093.023255813954,8.218181818181819,,,40.0,2482.3255813953488,,,20.0,
1983-07-06,1983,7,6,18496111.13,22.4,155000.0,40.34883720930232,170.69767441860463,66.86046511627907,124.06976744186048,,,,7000.0,,38.96511627906977,62546.51162790698,,49023.25581395349,8.222077922077922,,,40.0,2410.5813953488373,,,20.0,
1983-07-07,1983,7,7,12232877.73,22.9,140000.0,39.302325581395344,168.60465116279067,66.27906976744185,120.86046511627907,,,,7100.0,,38.06976744186046,62906.976744186046,,48953.48837209302,8.225974025974027,,,40.0,2338.8372093023254,,,20.0,
1983-07-08,1983,7,8,7902439.0139999995,23.4,105000.0,38.25581395348837,166.51162790697674,65.69767441860465,117.65116279069767,,,,7300.0,,37.17441860465116,63267.441860465115,,48883.72093023256,8.22987012987013,,,40.0,2267.093023255814,,,20.0,
1983-07-09,1983,7,9,5468096.346,23.7,82000.0,37.20930232558139,164.41860465116278,65.11627906976744,114.44186046511629,,,,7300.0,,36.27906976744186,63627.90697674418,,48813.95348837209,8.233766233766234,,,40.0,2195.3488372093025,,,20.0,
1983-07-10,1983,7,10,4293740.083000001,23.7,84000.0,36.16279069767441,162.32558139534882,64.53488372093022,111.23255813953489,,,,7400.0,,35.383720930232556,63988.37209302325,,48744.186046511626,8.237662337662337,,,40.0,2123.604651162791,,,20.0,
1983-07-11,1983,7,11,4073548.284,24.4,78000.0,35.116279069767444,160.2325581395349,63.95348837209302,108.02325581395348,,,,7700.0,,34.48837209302325,64348.83720930232,,48674.41860465116,8.241558441558443,,,40.0,2051.8604651162786,,,20.0,
1983-07-12,1983,7,12,3449671.52,25.7,70000.0,34.06976744186046,158.13953488372093,63.372093023255815,104.8139534883721,,,,8200.0,,33.593023255813954,64709.3023255814,,48604.651162790695,8.245454545454546,,,40.0,1980.1162790697672,,,20.0,
1983-07-13,1983,7,13,2776863.245,26.1,69000.0,33.02325581395348,156.04651162790697,62.7906976744186,101.6046511627907,,,,8100.0,,32.69767441860465,65069.767441860466,,48534.88372093023,8.24935064935065,,,40.0,1908.3720930232557,,,20.0,
1983-07-14,1983,7,14,2423333.078,26.8,66000.0,31.976744186046503,153.953488372093,62.20930232558139,98.3953488372093,,,,8000.0,,31.802325581395344,65430.232558139534,,48465.11627906977,8.253246753246755,,,40.0,1836.6279069767443,,,20.0,
1983-07-15,1983,7,15,2002522.085,27.9,56000.0,30.930232558139522,151.86046511627904,61.627906976744185,95.18604651162792,,,,8200.0,,30.906976744186046,65790.69767441861,,48395.348837209305,8.257142857142858,,,40.0,1764.8837209302328,,,20.0,
1983-07-16,1983,7,16,1733398.775,28.9,45000.0,29.883720930232556,149.7674418604651,61.04651162790697,91.97674418604652,,,,9400.0,,30.01162790697674,66151.16279069768,,48325.58139534884,8.261038961038961,,,40.0,1693.1395348837204,,,20.0,
1983-07-17,1983,7,17,1589050.8169999998,28.8,38000.0,28.837209302325576,147.67441860465115,60.46511627906977,88.76744186046511,,,,8800.0,,29.116279069767437,66511.62790697675,,48255.813953488374,8.264935064935065,,,40.0,1621.395348837209,,,20.0,
1983-07-18,1983,7,18,1534002.8669999999,28.3,38000.0,27.790697674418595,145.5813953488372,59.883720930232556,85.55813953488374,,,,8900.0,,28.22093023255814,66872.09302325582,,48186.04651162791,8.26883116883117,,,40.0,1549.6511627906975,,,20.0,
1983-07-19,1983,7,19,1503420.6730000002,29.3,36000.0,26.74418604651163,143.48837209302326,59.302325581395344,82.34883720930233,,,,10200.0,,27.325581395348834,67232.55813953489,,48116.27906976744,8.272727272727273,,,40.0,1477.906976744186,,,20.0,
1983-07-20,1983,7,20,1604953.5590000001,28.9,32000.0,25.69767441860465,141.3953488372093,58.72093023255814,79.13953488372093,,,,9500.0,,26.43023255813953,67593.02325581395,,48046.51162790698,8.276623376623377,,,40.0,1406.1627906976746,,,20.0,
1983-07-21,1983,7,21,1787223.436,29.2,43000.0,24.65116279069767,139.30232558139534,58.13953488372093,75.93023255813955,,,,8500.0,,25.534883720930225,67953.48837209302,,47976.74418604651,8.280519480519482,,,40.0,1334.4186046511622,,,20.0,
1983-07-22,1983,7,22,1995182.358,28.2,41000.0,23.604651162790688,137.20930232558138,57.55813953488372,72.72093023255815,,,,6400.0,,24.639534883720927,68313.95348837209,,47906.976744186046,8.284415584415585,,,40.0,1262.6744186046508,,,20.0,
1983-07-23,1983,7,23,2083259.0769999998,28.3,69000.0,22.558139534883708,135.11627906976742,56.97674418604651,69.51162790697674,,,,9200.0,,23.74418604651163,68674.41860465116,,47837.20930232558,8.288311688311689,,,40.0,1190.9302325581393,,,20.0,
1983-07-24,1983,7,24,1628196.0259999998,28.3,45000.0,21.51162790697674,133.02325581395348,56.3953488372093,66.30232558139537,,,,11500.0,,22.848837209302317,69034.88372093023,,47767.441860465115,8.292207792207792,,,40.0,1119.1860465116279,,,20.0,
1983-07-25,1983,7,25,1549905.6090000002,27.3,45000.0,20.46511627906976,130.93023255813952,55.81395348837209,63.09302325581396,,,,10800.0,,21.95348837209302,69395.3488372093,,47697.67441860465,8.296103896103897,,,40.0,1047.4418604651164,,,20.0,
1983-07-26,1983,7,26,1558468.6230000001,26.8,68000.0,19.41860465116278,128.83720930232556,55.23255813953488,59.883720930232556,,,,12000.0,,21.058139534883722,69755.81395348837,,47627.90697674418,8.3,,,40.0,975.697674418605,,,20.0,
1983-07-27,1983,7,27,2053900.1709999999,26.7,68000.0,18.372093023255815,126.74418604651163,54.65116279069767,56.67441860465118,,,,10800.0,,20.16279069767441,70116.27906976745,,47558.139534883725,8.1,,,40.0,903.9534883720926,,,20.0,
1983-07-28,1983,7,28,1845941.25,26.8,69000.0,17.325581395348834,124.65116279069767,54.06976744186046,53.465116279069775,,,,9400.0,,19.267441860465112,70476.7441860465,,47488.37209302325,8.4,,,40.0,832.2093023255811,,,20.0,
1983-07-29,1983,7,29,1291791.889,26.7,63000.0,16.279069767441854,122.55813953488371,53.48837209302325,50.25581395348837,,,,8300.0,,18.372093023255815,70837.20930232559,,47418.604651162794,8.4,,,40.0,760.4651162790697,,,20.0,
1983-07-30,1983,7,30,1332160.385,26.2,60000.0,15.232558139534873,120.46511627906975,52.906976744186046,47.046511627906966,,,,8300.0,,17.476744186046503,71197.67441860466,,47348.83720930233,8.4,,,40.0,688.7209302325582,,,20.0,
1983-07-31,1983,7,31,1294238.4640000002,26.5,80000.0,14.186046511627893,118.37209302325579,52.325581395348834,43.83720930232556,,,,9100.0,,16.581395348837205,71558.13953488372,,47279.06976744186,8.4,,,40.0,616.9767441860467,,,20.0,
1983-08-01,1983,8,1,1269772.7079999999,26.0,67000.0,13.139534883720927,116.27906976744185,51.74418604651162,40.627906976744214,,,,9100.0,,15.686046511627907,71918.6046511628,,47209.3023255814,8.6,,,40.0,545.2325581395344,,,20.0,
