,STATION_NUMBER,STATION_NAME,PROV_TERR_STATE_LOC,REGIONAL_OFFICE_ID,HYD_STATUS,SED_STATUS,LATITUDE,LONGITUDE,DRAINAGE_AREA_GROSS,DRAINAGE_AREA_EFFECT,RHBN,REAL_TIME,CONTRIBUTOR_ID,OPERATOR_ID,DATUM_ID
19,01AF010,GREEN RIVER AT DEUXIEME SAULT,NB,7,D,,4.74705582e+01,-6.82355576e+01,1.03000000e+03,,0,0,145,145,10.0
20,01AF011,LITTLE RIVER NEAR GRAND FALLS,NB,7,D,,4.70719414e+01,-6.77077789e+01,3.80000000e+02,,0,0,,647,10.0
21,01AG002,LIMESTONE STREAM AT FOUR FALLS,NB,7,D,,4.68283310e+01,-6.77430573e+01,1.99000000e+02,,0,0,647,647,10.0
22,01AG003,AROOSTOOK RIVER NEAR TINKER,NB,7,A,,4.68163605e+01,-6.77519684e+01,6.06000000e+03,,0,1,647,647,10.0
23,01AH001,TOBIQUE RIVER AT ARTHURETTE,NB,7,D,,4.67966690e+01,-6.74813919e+01,4.14000000e+03,,0,0,,,
24,01AH002,TOBIQUE RIVER AT RILEY BROOK,NB,7,A,,4.71730309e+01,-6.72108078e+01,2.23000000e+03,,0,1,400,647,10.0
25,01AH003,TOBIQUE RIVER AT PLASTER ROCK,NB,7,D,,4.69049988e+01,-6.73949966e+01,3.13000000e+03,,0,0,,647,10.0
26,01AH004,TOBIQUE RIVER AT NARROWS,NB,7,D,,4.67916718e+01,-6.76833267e+01,4.33000000e+03,,0,0,405,405,10.0
27,01AH005,MAMOZEKEL RIVER NEAR CAMPBELL RIVER,NB,7,D,,4.72508316e+01,-6.71422195e+01,2.30000000e+02,,0,0,,,10.0
28,01AJ001,SAINT JOHN RIVER NEAR EAST FLORENCEVILLE,NB,7,D,,4.64700012e+01,-6.75897217e+01,3.42000000e+04,,0,0,,647,35.0
29,01AJ002,SAINT JOHN RIVER AT WOODSTOCK,NB,7,D,,4.61563911e+01,-6.75736084e+01,,,0,0,405,405,10.0
30,01AJ003,MEDUXNEKEAG RIVER NEAR BELLEVILLE,NB,7,A,,4.62162209e+01,-6.77279434e+01,1.21000000e+03,,0,1,400,647,10.0
31,01AJ004,BIG PRESQUE ISLE STREAM AT TRACEY MILLS,NB,7,A,,4.64383583e+01,-6.77384415e+01,4.84000000e+02,,1,1,647,647,10.0
32,01AJ005,SAINT JOHN RIVER AT HARTLAND,NB,7,D,,4.63061104e+01,-6.75325012e+01,,,0,0,,,35.0
33,01AJ006,HOLMES BROOK AT MOOSE MOUNTAIN,NB,7,D,D,4.66127815e+01,-6.76105576e+01,7.76999998e+00,,0,0,,,10.0
34,01AJ007,HOLMES BROOK NEAR HOLMESVILLE,NB,7,D,D,4.65761108e+01,-6.75952835e+01,3.12999992e+01,,0,0,,,10.0
35,01AJ008,SAINT JOHN RIVER AT HARTLAND SALMON POOL,NB,7,D,,4.62983284e+01,-6.75291672e+01,,,0,0,,647,35.0
36,01AJ009,SAINT JOHN RIVER AT SIMONDS,NB,7,D,,4.63375015e+01,-6.75552826e+01,3.50000000e+04,,0,0,,647,35.0
37,01AJ010,BECAGUIMEC STREAM AT COLDSTREAM,NB,7,A,D,4.63408890e+01,-6.74651108e+01,3.50000000e+02,,1,1,400,647,10.0
38,01AJ011,COLD STREAM AT COLDSTREAM,NB,7,D,,4.63422203e+01,-6.74691696e+01,1.56000000e+02,,0,0,,647,10.0
39,01AJ012,SAINT JOHN RIVER AT BEECHWOOD GENERATING STATION,NB,7,D,,4.65400009e+01,-6.76711121e+01,3.37000000e+04,,0,0,405,405,10.0
40,01AJ013,LITTLE PRESQUE ISLE STREAM NEAR WATERVILLE,NB,7,D,,4.62722206e+01,-6.75699997e+01,1.30000000e+02,,0,0,,647,10.0
41,01AK001,SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY,NB,7,A,,4.59435310e+01,-6.73203583e+01,2.34000000e+02,,1,1,647,647,10.0
42,01AK002,SAINT JOHN RIVER AT POKIOK,NB,7,D,,4.59666710e+01,-6.72416687e+01,3.89000000e+04,,0,0,,,
43,01AK003,SAINT JOHN RIVER AT FREDERICTON,NB,7,A,,4.59661903e+01,-6.66516113e+01,,,0,1,400,647,35.0
44,01AK004,SAINT JOHN RIVER BELOW MACTAQUAC,NB,7,D,D,4.59622192e+01,-6.68308334e+01,3.99000000e+04,,0,0,,647,35.0
45,01AK005,MIDDLE BRANCH NASHWAAKSIS STREAM NEAR ROYAL ROAD,NB,7,D,D,4.60349998e+01,-6.67013931e+01,2.68999996e+01,,0,0,,647,10.0
46,01AK006,MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM,NB,7,A,,4.60828094e+01,-6.67330322e+01,5.69999981e+00,,0,1,647,647,10.0
47,01AK007,NACKAWIC STREAM NEAR TEMPERANCE VALE,NB,7,A,,4.60487785e+01,-6.72396088e+01,2.40000000e+02,,0,1,400,647,10.0
48,01AK008,EEL RIVER NEAR SCOTT SIDING,NB,7,D,,4.59366684e+01,-6.75469437e+01,5.31000000e+02,,0,0,,647,10.0
49,01AK009,SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION,NB,7,D,,4.59566689e+01,-6.68647232e+01,,,0,0,,647,35.0
50,01AK010,SAINT JOHN RIVER AT MACTAQUAC GENERATING STATION,NB,7,D,,4.59566689e+01,-6.68647232e+01,3.99000000e+04,,0,0,405,405,10.0
51,01AL001,NASHWAAK RIVER AT PENNIAC,NB,7,D,,4.60091705e+01,-6.65830612e+01,1.66000000e+03,,0,0,400,400,10.0
52,01AL002,NASHWAAK RIVER AT DURHAM BRIDGE,NB,7,A,D,4.61259193e+01,-6.66113129e+01,1.45000000e+03,,0,1,647,647,35.0
53,01AL003,HAYDEN BROOK NEAR NARROWS MOUNTAIN,NB,7,D,,4.62988892e+01,-6.70369415e+01,6.48000002e+00,,0,0,,647,10.0
54,01AL004,NARROWS MOUNTAIN BROOK NEAR NARROWS MOUNTAIN,NB,7,A,D,4.62771683e+01,-6.70213928e+01,3.89000010e+00,,0,1,647,647,10.0
55,01AL005,"NARROWS MOUNTAIN BROOK, BRANCH NO.1, NEAR NARROWS MOUNTAIN",NB,7,D,,4.62769394e+01,-6.70436096e+01,8.00000012e-01,,0,0,,,10.0
56,01AL006,"NARROWS MOUNTAIN BROOK, BRANCH NO.2, NEAR NARROWS MOUNTAIN",NB,7,D,,4.62769394e+01,-6.70433273e+01,9.10000026e-01,,0,0,,,10.0
57,01AL007,"NARROWS MOUNTAIN BROOK, BRANCH NO.3, NEAR NARROWS MOUNTAIN",NB,7,D,,4.62794418e+01,-6.70363922e+01,4.09999996e-01,,0,0,,,10.0
58,01AL008,NASHWAAK RIVER AT STANLEY,NB,7,D,,4.62830582e+01,-6.67375031e+01,6.41000000e+02,,0,0,,647,10.0
59,01AM001,NORTH BRANCH OROMOCTO RIVER AT TRACY,NB,7,A,,4.56737785e+01,-6.66828918e+01,5.57000000e+02,,0,1,647,647,10.0
60,01AN001,CASTAWAY STREAM NEAR CASTAWAY,NB,7,D,,4.62983284e+01,-6.57119370e+01,3.44000015e+01,,0,0,,647,10.0
61,01AN002,SALMON RIVER AT CASTAWAY,NB,7,A,,4.62907219e+01,-6.57227478e+01,1.05000000e+03,,0,1,400,647,10.0
62,01AO001,SAINT JOHN RIVER AT OROMOCTO,NB,7,D,,4.58555603e+01,-6.64722214e+01,,,0,0,,,10.0
63,01AO002,SAINT JOHN RIVER AT MAUGERVILLE,NB,7,A,,4.58664703e+01,-6.64531708e+01,,,0,1,400,647,35.0
64,01AO003,GRAND LAKE AT NEWCASTLE CREEK,NB,7,A,,4.60564003e+01,-6.60056992e+01,,,0,1,400,647,35.0
65,01AO004,JEMSEG RIVER AT JEMSEG,NB,7,A,,4.58289185e+01,-6.61154175e+01,,,0,1,647,647,35.0
66,01AO009,BURPEE MILLSTREAM NEAR FERNMOUNT,NB,7,D,,4.59566689e+01,-6.63113937e+01,9.31999969e+01,,0,0,,647,10.0
67,01AO010,FRENCH LAKE AT LAKEVILLE CORNER,NB,7,A,,4.59088287e+01,-6.62564392e+01,,,0,1,400,647,35.0
68,01AO011,SAINT JOHN RIVER AT UPPER GAGETOWN,NB,7,A,,4.58472519e+01,-6.62348633e+01,,,0,1,400,647,35.0
69,01AO012,SAINT JOHN RIVER AT GAGETOWN,NB,7,A,,4.57686691e+01,-6.61403580e+01,,,0,1,400,647,35.0
70,01AP001,KENNEBECASIS RIVER AT NORTON,NB,7,D,,4.56358299e+01,-6.57016678e+01,1.21000000e+03,,0,0,,,
71,01AP002,CANAAN RIVER AT EAST CANAAN,NB,7,A,,4.60723610e+01,-6.53663864e+01,6.68000000e+02,,1,1,400,647,10.0
72,01AP003,SAINT JOHN RIVER AT OAK POINT,NB,7,A,,4.55194206e+01,-6.60766068e+01,,,0,1,400,647,35.0
73,01AP004,KENNEBECASIS RIVER AT APOHAQUI,NB,7,A,D,4.57013893e+01,-6.56016922e+01,1.10000000e+03,,1,1,647,647,35.0
74,01AP005,SAINT JOHN RIVER AT SAINT JOHN,NB,7,A,,4.52733917e+01,-6.60888901e+01,,,0,1,925,647,35.0
75,01AP006,NEREPIS RIVER NEAR FOWLERS CORNER,NB,7,A,,4.55034409e+01,-6.63189697e+01,2.93000000e+02,,0,1,225,647,10.0
76,01AP009,PARLEE BROOK BELOW ARNOLDS BRIDGE,NB,7,D,,4.56725006e+01,-6.54183273e+01,3.54000015e+01,,0,0,,647,10.0
77,01AP010,OTNABOG STREAM ABOVE OTNABOG LAKE,NB,7,D,,4.57055016e+01,-6.61920013e+01,,,0,0,917,647,10.0
78,01AQ001,LEPREAU RIVER AT LEPREAU,NB,7,A,,4.51697807e+01,-6.64682770e+01,2.39000000e+02,,1,1,647,647,10.0
79,01AQ002,MAGAGUADAVIC RIVER AT ELMCROFT,NB,7,A,,4.52733307e+01,-6.68066711e+01,1.42000000e+03,,0,1,647,647,10.0
80,01AQ003,WEST MUSQUASH RIVER AT MUSQUASH,NB,7,D,,4.51880608e+01,-6.63516693e+01,2.10000000e+02,,0,0,405,405,
81,01AQ004,EAST MUSQUASH RIVER AT MUSQUASH,NB,7,D,,4.52047195e+01,-6.63261108e+01,1.79000000e+02,,0,0,405,405,
82,01AQ005,MAGAGUADAVIC RIVER AT SECOND FALLS,NB,7,D,,4.52316704e+01,-6.68433304e+01,1.54000000e+03,,0,0,,,
83,01AQ006,LITTLE LEPREAU RIVER NEAR LEPREAU,NB,7,D,,4.51391716e+01,-6.64483337e+01,3.82999992e+01,,0,0,,,10.0
84,01AQ007,MAGAGUADAVIC LAKE NEAR UPPER MAGAGUADAVIC,NB,7,A,,4.57197495e+01,-6.71835632e+01,,,0,1,400,647,35.0
85,01AQ008,PISKAHEGAN STREAM NEAR PLEASANT MOUNTAIN,NB,7,D,,4.54180603e+01,-6.68869400e+01,1.97000000e+02,,0,0,,647,10.0
86,01AQ009,LAKE UTOPIA AT CANAL,NB,7,D,,4.51602783e+01,-6.68277817e+01,,,0,0,,647,35.0
87,01AR001,DENNIS STREAM AT MOORES MILLS,NB,7,D,,4.52927818e+01,-6.72722168e+01,6.22000008e+01,,0,0,,,
88,01AR002,EEL BROOK NEAR NORTH HEAD,NB,7,D,,4.47913895e+01,-6.67813873e+01,2.84999990e+00,,0,0,,,
89,01AR003,ST. CROIX RIVER NEAR BAILEYVILLE,NB,7,D,,4.52652817e+01,-6.74766693e+01,3.42000000e+03,,0,0,,,10.0
90,01AR004,ST. CROIX RIVER AT VANCEBORO,ME,7,A,,4.55688896e+01,-6.74297180e+01,1.08000000e+03,,0,0,647,600,42.0
91,01AR005,ST. CROIX RIVER AT BARING,ME,7,A,,4.51366692e+01,-6.73180618e+01,3.55000000e+03,,0,0,647,600,42.0
92,01AR006,DENNIS STREAM NEAR ST. STEPHEN,NB,7,A,D,4.52097206e+01,-6.72624969e+01,1.15000000e+02,,0,1,400,647,10.0
93,01AR007,BOCABEC RIVER AT OUTLET OF KERR LAKE,NB,7,D,,4.52075005e+01,-6.70194397e+01,1.23999996e+01,,0,0,,,
94,01AR008,BOCABEC RIVER ABOVE TIDE,NB,7,D,,4.51930618e+01,-6.69988937e+01,4.30000000e+01,,0,0,,,10.0
95,01AR009,GRAND LAKE AT FOREST CITY,ME,7,A,,4.56648903e+01,-6.77358932e+01,,,0,1,1006,647,42.0
96,01AR010,SPEDNIC LAKE AT ST. CROIX,NB,7,A,,4.55692215e+01,-6.74272537e+01,,,0,1,1006,647,35.0
97,01AR011,FOREST CITY STREAM BELOW FOREST CITY DAM,ME,7,A,,4.56641693e+01,-6.77335587e+01,3.57000000e+02,,0,1,1006,647,42.0
98,01AR012,CHAMCOOK STREAM AT LITTLE CHAMCOOK LAKE OUTLET,NB,7,D,,4.51572189e+01,-6.70961075e+01,,,0,0,,647,10.0
99,01AR013,GRAND FALLS FLOWAGE AT GRAND FALLS,ME,7,A,,4.52745018e+01,-6.74963608e+01,,,0,1,1006,647,42.0
100,01AR014,ST. CROIX RIVER AT MILLTOWN DAM,NB,7,A,,4.51752205e+01,-6.72929001e+01,,,0,1,647,647,63.0
101,01BA001,RESTIGOUCHE RIVER ABOVE KEDGWICK RIVER,NB,7,D,,4.76563911e+01,-6.74941711e+01,1.57000000e+03,,0,0,,,10.0
102,01BC001,RESTIGOUCHE RIVER BELOW KEDGWICK RIVER,NB,7,A,,4.76670799e+01,-6.74830780e+01,3.16000000e+03,,1,1,400,647,10.0
103,01BD001,MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN,QC,6,D,,4.80844383e+01,-6.70986099e+01,2.77000000e+03,,0,0,740,740,405.0
104,01BD002,MATAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ASSEMETQUAGAN,QC,6,D,D,4.80866699e+01,-6.71005630e+01,2.76000000e+03,,0,0,647,740,405.0
105,01BD004,MATAPEDIA (LAC) A VAL-BRILLANT,QC,6,D,,4.85338898e+01,-6.75455627e+01,5.58000000e+02,,0,0,740,740,405.0
106,01BD005,LAC AU SAUMON,QC,6,D,,4.84211082e+01,-6.73241730e+01,1.21000000e+03,,0,0,740,740,405.0
107,01BD008,MATAPEDIA (RIVIERE) PRES DE AMQUI,QC,6,A,,4.84916687e+01,-6.74499969e+01,5.58000000e+02,,0,1,740,740,405.0
108,01BD009,MATAPEDIA (RIVIERE) A 4 KM EN AMONT DE L'ASSEMETQUAGAN,QC,6,A,,4.81078987e+01,-6.71302032e+01,2.75600000e+03,,0,1,740,740,405.0
109,01BE001,UPSALQUITCH RIVER AT UPSALQUITCH,NB,7,A,,4.78324699e+01,-6.68870773e+01,2.27000000e+03,,1,1,647,647,10.0
110,01BF001,NOUVELLE (RIVIERE) AU PONT,QC,6,D,,4.81572189e+01,-6.63494415e+01,1.14000000e+03,,0,0,647,740,405.0
111,01BF002,NOUVELLE (RIVIERE) EN AVAL DU PONT,QC,6,D,,4.81355591e+01,-6.63194427e+01,1.16000000e+03,,0,0,740,740,405.0
112,01BF003,NOUVELLE (RIVIERE) EN AMONT DU PONT,QC,6,D,,4.81616707e+01,-6.63802795e+01,8.67000000e+02,,0,0,740,740,405.0
113,01BF004,"NOUVELLE (RIVIERE) A 0,2 KM EN AMONT DU PONT-ROUTE 132 A NOUVELLE",QC,6,A,,4.81587982e+01,-6.63488007e+01,1.13900000e+03,,0,1,740,740,
114,01BG001,CASCAPEDIA (PETITE RIVIERE) EN AMONT DU PONT,QC,6,D,,4.81891708e+01,-6.58119431e+01,1.39000000e+03,,0,0,740,740,405.0
115,01BG002,BONAVENTURE (RIVIERE) EN AMONT DU PONT,QC,6,D,,4.80999985e+01,-6.54616699e+01,2.15000000e+03,,0,0,740,740,405.0
116,01BG003,CASCAPEDIA (RIVIERE) EN AVAL DU LAC CASCAPEDIA,QC,6,D,,4.86663895e+01,-6.61894379e+01,1.48000000e+03,,0,0,740,740,405.0
117,01BG004,CASCAPEDIA (RIVIERE) EN AMONT DE LA RIVIERE ANGERS,QC,6,D,,4.83177795e+01,-6.59725037e+01,2.40000000e+03,,0,0,740,740,405.0
118,01BG005,CASCAPEDIA (RIVIERE) EN AVAL DU RUISSEAU BERRY,QC,6,A,,4.86283302e+01,-6.61680603e+01,1.68000000e+03,,0,1,740,740,405.0
119,01BG006,BASTIEN (RUISSEAU) EN AMONT DU PONT,QC,6,D,D,4.81097183e+01,-6.61269379e+01,1.23999996e+01,,0,0,740,740,405.0
120,01BG007,CHALEURS (BAIE DES) A CARLETON,QC,6,D,,4.80902786e+01,-6.61161118e+01,,,0,0,740,740,405.0
121,01BG008,CASCAPEDIA (PETITE RIVIERE) A SAINT-EDGAR,QC,6,A,,4.82308311e+01,-6.57350006e+01,1.34000000e+03,,0,1,740,740,405.0
122,01BG009,BONAVENTURE (RIVIERE) EN AMONT DU RUISSEAU CREUX,QC,6,A,,4.81861115e+01,-6.55586090e+01,1.91000000e+03,,0,1,740,740,
123,01BG010,CASCAPEDIA (PETITE RIVIERE) A 0.9 KM RIVE DROITE AVAL  PONT-ROUTE A SAINT-EDGAR,QC,6,D,,4.82322998e+01,-6.57341003e+01,1.34000000e+03,,0,0,740,740,
124,01BH001,DARTMOUTH (RIVIERE) PRES DE CORTEREAL,QC,6,D,,4.89330597e+01,-6.46355591e+01,7.48000000e+02,,0,0,740,740,405.0
125,01BH002,YORK (RIVIERE) A SUNNY BANK,QC,6,D,D,4.88341713e+01,-6.46250000e+01,1.01000000e+03,,0,0,740,740,405.0
126,01BH003,PORPHYRE (RUISSEAU),QC,6,D,,4.89458313e+01,-6.54894409e+01,3.02000008e+01,,0,0,740,740,405.0
127,01BH005,DARTMOUTH (RIVIERE) EN AMONT DU RUISSEAU DU PAS DE DAME,QC,6,A,,4.89797211e+01,-6.46986084e+01,6.45000000e+02,,1,1,647,740,405.0
128,01BH007,GRANDE-RIVIERE OUEST (LA),QC,6,D,,4.84777794e+01,-6.45286102e+01,5.34000000e+02,,0,0,647,740,405.0
129,01BH008,SAINT-JEAN (RIVIERE),QC,6,D,,4.87716713e+01,-6.45213928e+01,1.09000000e+03,,0,0,740,740,405.0
130,01BH009,YORK RIVIERE) EN AMONT DU RUISSEAU D'ARGENT,QC,6,D,,4.88316689e+01,-6.46849976e+01,9.72000000e+02,,0,0,740,740,405.0
131,01BH010,"YORK (RIVIERE) A 1,4 KM EN AVAL DU RUISSEAU DINNER ISLAND",QC,6,A,,4.88066711e+01,-6.49211121e+01,6.59000000e+02,,0,1,740,740,405.0
132,01BH011,YORK (RIVIERE) EN AVAL DU RUISSEAU DES ETROITS,QC,6,D,,4.87983284e+01,-6.49477768e+01,6.37000000e+02,,0,0,740,740,
133,01BH012,SAINT-JEAN (RIVIERE) EN AMONT DU PONT-ROUTE 132,QC,6,D,,4.87688904e+01,-6.45149994e+01,1.09000000e+03,,0,0,740,740,
134,01BJ001,TETAGOUCHE RIVER NEAR WEST BATHURST,NB,7,D,,4.76558304e+01,-6.56936111e+01,3.63000000e+02,,0,0,,647,10.0
135,01BJ002,EEL RIVER AT EEL RIVER CROSSING,NB,7,D,,4.80130615e+01,-6.64233322e+01,1.00000000e+02,,0,0,,,
136,01BJ003,JACQUET RIVER NEAR DURHAM CENTRE,NB,7,A,,4.78938103e+01,-6.60252228e+01,5.10000000e+02,,1,1,647,647,10.0
137,01BJ004,EEL RIVER NEAR EEL RIVER CROSSING,NB,7,D,,4.80144386e+01,-6.64383316e+01,8.85999985e+01,,0,0,,,10.0
138,01BJ006,LITTLE RIVER AT CARROLL'S FARM,NB,7,D,,4.75675011e+01,-6.57019424e+01,,,0,0,,,10.0
139,01BJ007,RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK,NB,7,A,,4.79086685e+01,-6.69480591e+01,7.74000000e+03,,0,1,647,647,10.0
140,01BJ008,MILLSTREAM RIVER AT ROBERTVILLE,NB,7,D,,4.77022209e+01,-6.57763901e+01,1.05000000e+02,,0,0,,,
141,01BJ009,WALKER BROOK AT CAMPBELLTON,NB,7,D,,4.79880600e+01,-6.66969376e+01,6.07999992e+01,,0,0,,647,10.0
142,01BJ010,MIDDLE RIVER NEAR BATHURST,NB,7,A,D,4.76083908e+01,-6.57218094e+01,2.17000000e+02,,0,1,400,647,10.0
143,01BJ011,NIGADOO RIVER NEAR ALCIDA,NB,7,D,,4.77400017e+01,-6.58127823e+01,1.23000000e+02,,0,0,,647,10.0
144,01BJ012,EEL RIVER NEAR DUNDEE,NB,7,A,,4.79878883e+01,-6.64906082e+01,4.32000008e+01,,0,1,647,647,10.0
145,01BK001,NEPISIGUIT RIVER AT BATHURST MINES,NB,7,D,,4.73888893e+01,-6.58272171e+01,1.81000000e+03,,0,0,,,
146,01BK002,NEPISIGUIT RIVER AT NEPISIGUIT NARROWS,NB,7,D,,4.73619385e+01,-6.58450012e+01,1.79000000e+03,,0,0,,,
147,01BK003,NEPISIGUIT RIVER AT NEPISIGUIT FALLS,NB,7,D,,4.74066696e+01,-6.57949982e+01,1.84000000e+03,,0,0,405,405,10.0
148,01BK004,NEPISIGUIT RIVER NEAR PABINEAU FALLS,NB,7,D,,4.74944382e+01,-6.56805573e+01,2.09000000e+03,,0,0,,,10.0
149,01BK005,FORTY MILE BROOK AT CARIBOU DEPOT,NB,7,D,,4.75677795e+01,-6.62850037e+01,1.41999998e+01,,0,0,,,10.0
150,01BK006,FORTY MILE BROOK (WEST BRANCH) AT CARIBOU DEPOT,NB,7,D,,4.75594406e+01,-6.62783279e+01,1.30000000e+01,,0,0,,,10.0
151,01BL001,BASS RIVER AT BASS RIVER,NB,7,D,,4.76500015e+01,-6.55777817e+01,1.75000000e+02,,0,0,,647,10.0
152,01BL002,RIVIERE CARAQUET AT BURNSVILLE,NB,7,A,,4.77056084e+01,-6.51553879e+01,1.73000000e+02,,1,1,400,647,10.0
153,01BL003,BIG TRACADIE RIVER AT MURCHY BRIDGE CROSSING,NB,7,A,,4.74357796e+01,-6.51060562e+01,3.83000000e+02,,0,1,647,647,10.0
154,01BO001,SOUTHWEST MIRAMICHI RIVER AT BLACKVILLE,NB,7,A,D,4.67360001e+01,-6.58256073e+01,5.05000000e+03,,1,1,647,647,10.0
155,01BO002,RENOUS RIVER AT MCGRAW BROOK,NB,7,D,D,4.68213882e+01,-6.61147232e+01,6.11000000e+02,,0,0,,647,10.0
156,01BO003,BARNABY RIVER BELOW SEMIWAGAN RIVER,NB,7,D,D,4.68886108e+01,-6.55955582e+01,4.84000000e+02,,0,0,,647,10.0
157,01BO004,BARTIBOG RIVER BELOW HIGHWAY NO. 8,NB,7,D,,4.71908302e+01,-6.53974991e+01,3.16000000e+02,,0,0,,647,10.0
158,01BP001,LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON,NB,7,A,D,4.69359703e+01,-6.59073868e+01,1.34000000e+03,,1,1,647,647,10.0
159,01BP002,CATAMARAN BROOK AT REPAP ROAD BRIDGE,NB,7,A,,4.68565598e+01,-6.61901093e+01,2.87000008e+01,,0,1,647,647,10.0
160,01BQ001,NORTHWEST MIRAMICHI RIVER AT TROUT BROOK,NB,7,A,D,4.70947495e+01,-6.58365021e+01,9.48000000e+02,,1,1,647,647,10.0
161,01BQ002,LITTLE SOUTH BRANCH TOMOGONOPS RIVER AT FRESH WATER POND,NB,7,D,,4.72952805e+01,-6.60650024e+01,,,0,0,,647,10.0
162,01BQ003,LITTLE SOUTH BRANCH TOMOGONOPS RIVER BELOW B PIT,NB,7,D,,4.72911110e+01,-6.60427780e+01,,,0,0,,647,10.0
163,01BQ006,SOUTH BRANCH TOMOGONOPS RIVER NEAR HEATH STEEL MINES,NB,7,D,,4.72547188e+01,-6.59672165e+01,,,0,0,,647,10.0
164,01BQ007,TOMOGONOPS RIVER AT THE MOUTH,NB,7,D,,4.72330589e+01,-6.58361130e+01,1.58000000e+02,,0,0,,,10.0
165,01BR001,KOUCHIBOUGUAC RIVER NEAR VAUTOUR,NB,7,D,,4.67433281e+01,-6.52047195e+01,1.77000000e+02,,0,0,,647,10.0
166,01BS001,COAL BRANCH RIVER AT BEERSVILLE,NB,7,A,D,4.64439392e+01,-6.50649414e+01,1.66000000e+02,,1,1,647,647,10.0
