"","STATION_NUMBER","Date","Parameter","Value","Symbol"
"194","02GG011",1927-11-10,"Level",174.940002441406,NA
"195","02GG011",1927-11-11,"Level",174.940002441406,NA
"196","02GG011",1927-11-12,"Level",175.039993286133,NA
"197","02GG011",1927-11-13,"Level",174.970001220703,NA
"198","02GG011",1927-11-14,"Level",174.940002441406,NA
"199","02GG011",1927-11-15,"Level",174.929992675781,NA
"200","02GG011",1927-11-16,"Level",174.949996948242,NA
"201","02GG011",1927-11-17,"Level",174.990005493164,NA
"202","02GG011",1927-11-18,"Level",174.979995727539,NA
"203","02GG011",1927-11-19,"Level",174.979995727539,NA
"204","02GG011",1927-11-20,"Level",174.979995727539,NA
"205","02GG011",1927-11-21,"Level",174.949996948242,NA
"206","02GG011",1927-11-22,"Level",174.940002441406,NA
"207","02GG011",1927-11-23,"Level",174.960006713867,NA
"208","02GG011",1927-11-24,"Level",174.970001220703,NA
"209","02GG011",1927-11-25,"Level",174.979995727539,NA
"210","02GG011",1927-11-26,"Level",174.949996948242,NA
"211","02GG011",1927-11-27,"Level",175,NA
"212","02GG011",1927-11-28,"Level",174.949996948242,NA
"213","02GG011",1927-11-29,"Level",174.990005493164,NA
"214","02GG011",1927-11-30,"Level",175.080001831055,NA
"215","02GG011",1927-12-01,"Level",175.080001831055,NA
"216","02GG011",1927-12-02,"Level",175.059997558594,NA
"217","02GG011",1927-12-03,"Level",175.050003051758,NA
"218","02GG011",1927-12-04,"Level",175.009994506836,NA
"219","02GG011",1927-12-05,"Level",175.059997558594,NA
"220","02GG011",1927-12-06,"Level",175.029998779297,NA
"221","02GG011",1927-12-07,"Level",174.990005493164,NA
"222","02GG011",1927-12-08,"Level",175.130004882812,NA
"223","02GG011",1927-12-09,"Level",175.029998779297,NA
"224","02GG011",1927-12-10,"Level",175.020004272461,NA
"225","02GG011",1927-12-11,"Level",174.990005493164,NA
"226","02GG011",1927-12-12,"Level",175,NA
"227","02GG011",1927-12-13,"Level",175,NA
"228","02GG011",1927-12-14,"Level",175.050003051758,NA
"229","02GG011",1927-12-15,"Level",175.009994506836,NA
"230","02GG011",1927-12-16,"Level",175.059997558594,NA
"231","02GG011",1927-12-17,"Level",175.100006103516,NA
"232","02GG011",1927-12-18,"Level",175.059997558594,NA
"233","02GG011",1927-12-19,"Level",175.110000610352,NA
"234","02GG011",1927-12-20,"Level",175.119995117188,NA
"235","02GG011",1927-12-21,"Level",175.070007324219,NA
"236","02GG011",1927-12-22,"Level",175.059997558594,NA
"237","02GG011",1927-12-23,"Level",175.080001831055,NA
"238","02GG011",1927-12-24,"Level",175.050003051758,NA
"239","02GG011",1927-12-25,"Level",175.029998779297,NA
"240","02GG011",1927-12-26,"Level",175.029998779297,NA
"241","02GG011",1927-12-27,"Level",175.029998779297,NA
"242","02GG011",1927-12-28,"Level",174.990005493164,NA
"243","02GG011",1927-12-29,"Level",175.009994506836,NA
"244","02GG011",1927-12-30,"Level",175.009994506836,NA
"245","02GG011",1927-12-31,"Level",175.089996337891,NA
"246","02GG011",1928-01-01,"Level",175.130004882812,NA
"247","02GG011",1928-01-02,"Level",175.289993286133,NA
"248","02GG011",1928-01-03,"Level",175.380004882812,NA
"249","02GG011",1928-01-04,"Level",175.199996948242,NA
"250","02GG011",1928-01-05,"Level",175.169998168945,NA
"251","02GG011",1928-01-06,"Level",175.080001831055,NA
"252","02GG011",1928-01-07,"Level",175.110000610352,NA
"253","02GG011",1928-01-08,"Level",175.190002441406,NA
"254","02GG011",1928-01-09,"Level",175.210006713867,NA
"255","02GG011",1928-01-10,"Level",175.100006103516,NA
"256","02GG011",1928-01-11,"Level",175.050003051758,NA
"257","02GG011",1928-01-12,"Level",175.009994506836,NA
"258","02GG011",1928-01-13,"Level",175.050003051758,NA
"259","02GG011",1928-01-14,"Level",175.039993286133,NA
"260","02GG011",1928-01-15,"Level",175.039993286133,NA
"261","02GG011",1928-01-16,"Level",175.029998779297,NA
"262","02GG011",1928-01-17,"Level",175.070007324219,NA
"263","02GG011",1928-01-18,"Level",175.070007324219,NA
"264","02GG011",1928-01-19,"Level",175.089996337891,NA
"265","02GG011",1928-01-20,"Level",175.210006713867,NA
"266","02GG011",1928-01-21,"Level",175.380004882812,NA
"267","02GG011",1928-01-22,"Level",175.339996337891,NA
"268","02GG011",1928-01-23,"Level",175.300003051758,NA
"269","02GG011",1928-01-24,"Level",175.240005493164,NA
"270","02GG011",1928-01-25,"Level",175.300003051758,NA
"271","02GG011",1928-01-26,"Level",175.179992675781,NA
"272","02GG011",1928-01-27,"Level",175.070007324219,NA
"273","02GG011",1928-01-28,"Level",175.059997558594,NA
"274","02GG011",1928-01-29,"Level",175.059997558594,NA
"275","02GG011",1928-01-30,"Level",175.050003051758,NA
"276","02GG011",1928-01-31,"Level",175.070007324219,NA
"277","02GG011",1928-02-01,"Level",175.059997558594,NA
"278","02GG011",1928-02-02,"Level",175.039993286133,NA
"279","02GG011",1928-02-03,"Level",174.979995727539,NA
"280","02GG011",1928-02-04,"Level",175.009994506836,NA
"281","02GG011",1928-02-05,"Level",174.990005493164,NA
"282","02GG011",1928-02-06,"Level",174.919998168945,NA
"283","02GG011",1928-02-07,"Level",174.940002441406,NA
"284","02GG011",1928-02-08,"Level",174.960006713867,NA
"285","02GG011",1928-02-09,"Level",175.020004272461,NA
"286","02GG011",1928-02-10,"Level",175,NA
"287","02GG011",1928-02-11,"Level",175.009994506836,NA
"288","02GG011",1928-02-12,"Level",175.029998779297,NA
"289","02GG011",1928-02-13,"Level",174.979995727539,NA
"290","02GG011",1928-02-14,"Level",175.009994506836,NA
"291","02GG011",1928-02-15,"Level",175.080001831055,NA
"292","02GG011",1928-02-16,"Level",175.080001831055,NA
"293","02GG011",1928-02-17,"Level",175.059997558594,NA
"294","02GG011",1928-02-18,"Level",175.100006103516,NA
"295","02GG011",1928-02-19,"Level",174.75,NA
"296","02GG011",1928-02-20,"Level",174.729995727539,NA
"297","02GG011",1928-02-21,"Level",174.690002441406,NA
"298","02GG011",1928-02-22,"Level",174.669998168945,NA
"299","02GG011",1928-02-23,"Level",174.690002441406,NA
"300","02GG011",1928-02-24,"Level",174.690002441406,NA
"301","02GG011",1928-02-25,"Level",174.679992675781,NA
"302","02GG011",1928-02-26,"Level",174.649993896484,NA
"303","02GG011",1928-02-27,"Level",174.679992675781,NA
"304","02GG011",1928-02-28,"Level",174.660003662109,NA
"305","02GG011",1928-02-29,"Level",174.679992675781,NA
"306","02GG011",1928-03-01,"Level",174.720001220703,NA
"307","02GG011",1928-03-02,"Level",174.720001220703,NA
"308","02GG011",1928-03-03,"Level",174.690002441406,NA
"309","02GG011",1928-03-04,"Level",174.660003662109,NA
"310","02GG011",1928-03-05,"Level",174.660003662109,NA
"311","02GG011",1928-03-06,"Level",174.639999389648,NA
"312","02GG011",1928-03-07,"Level",174.669998168945,NA
"313","02GG011",1928-03-08,"Level",174.690002441406,NA
"314","02GG011",1928-03-09,"Level",174.679992675781,NA
"315","02GG011",1928-03-10,"Level",174.600006103516,NA
"316","02GG011",1928-03-11,"Level",174.589996337891,NA
"317","02GG011",1928-03-12,"Level",174.600006103516,NA
"318","02GG011",1928-03-13,"Level",174.600006103516,NA
"319","02GG011",1928-03-14,"Level",174.639999389648,NA
"320","02GG011",1928-03-15,"Level",174.740005493164,NA
"321","02GG011",1928-03-16,"Level",174.770004272461,NA
"322","02GG011",1928-03-17,"Level",174.809997558594,NA
"323","02GG011",1928-03-18,"Level",174.839996337891,NA
"324","02GG011",1928-03-19,"Level",174.830001831055,NA
"325","02GG011",1928-03-20,"Level",174.869995117188,NA
"326","02GG011",1928-03-21,"Level",174.899993896484,NA
"327","02GG011",1928-03-22,"Level",174.940002441406,NA
"328","02GG011",1928-03-23,"Level",174.919998168945,NA
"329","02GG011",1928-03-24,"Level",174.899993896484,NA
"330","02GG011",1928-03-25,"Level",174.929992675781,NA
"331","02GG011",1928-03-26,"Level",174.990005493164,NA
"332","02GG011",1928-03-27,"Level",175.100006103516,NA
"333","02GG011",1928-03-28,"Level",175.039993286133,NA
"334","02GG011",1928-03-29,"Level",175.020004272461,NA
"335","02GG011",1928-03-30,"Level",175.059997558594,NA
"336","02GG011",1928-03-31,"Level",175.039993286133,NA
"337","02GG011",1928-04-01,"Level",175.039993286133,NA
"338","02GG011",1928-04-02,"Level",175.020004272461,NA
"339","02GG011",1928-04-03,"Level",175.029998779297,NA
"340","02GG011",1928-04-04,"Level",175.039993286133,NA
"341","02GG011",1928-04-05,"Level",175.050003051758,NA
"342","02GG011",1928-04-06,"Level",175.050003051758,NA
"343","02GG011",1928-04-07,"Level",175.080001831055,NA
"344","02GG011",1928-04-08,"Level",175.210006713867,NA
"345","02GG011",1928-04-09,"Level",175.119995117188,NA
"346","02GG011",1928-04-10,"Level",175.089996337891,NA
"347","02GG011",1928-04-11,"Level",175.080001831055,NA
"348","02GG011",1928-04-12,"Level",175.100006103516,NA
"349","02GG011",1928-04-13,"Level",175.119995117188,NA
"350","02GG011",1928-04-14,"Level",175.210006713867,NA
"351","02GG011",1928-04-15,"Level",175.130004882812,NA
"352","02GG011",1928-04-16,"Level",175.119995117188,NA
"353","02GG011",1928-04-17,"Level",175.119995117188,NA
"354","02GG011",1928-04-18,"Level",175.119995117188,NA
"355","02GG011",1928-04-19,"Level",175.210006713867,NA
"356","02GG011",1928-04-20,"Level",175.119995117188,NA
"357","02GG011",1928-04-21,"Level",175.100006103516,NA
"358","02GG011",1928-04-22,"Level",175.119995117188,NA
"359","02GG011",1928-04-23,"Level",175.139999389648,NA
"360","02GG011",1928-04-24,"Level",175.160003662109,NA
"361","02GG011",1928-04-25,"Level",175.169998168945,NA
"362","02GG011",1928-04-26,"Level",175.139999389648,NA
"363","02GG011",1928-04-27,"Level",175.119995117188,NA
"364","02GG011",1928-04-28,"Level",175.130004882812,NA
"365","02GG011",1928-04-29,"Level",175.139999389648,NA
"366","02GG011",1928-04-30,"Level",175.179992675781,NA
"367","02GG011",1928-05-01,"Level",175.160003662109,NA
"368","02GG011",1928-05-02,"Level",175.139999389648,NA
"369","02GG011",1928-05-03,"Level",175.139999389648,NA
"370","02GG011",1928-05-04,"Level",175.149993896484,NA
"371","02GG011",1928-05-05,"Level",175.160003662109,NA
"372","02GG011",1928-05-06,"Level",175.149993896484,NA
"373","02GG011",1928-05-07,"Level",175.139999389648,NA
"374","02GG011",1928-05-08,"Level",175.149993896484,NA
"375","02GG011",1928-05-09,"Level",175.149993896484,NA
"376","02GG011",1928-05-10,"Level",175.139999389648,NA
"377","02GG011",1928-05-11,"Level",175.160003662109,NA
"378","02GG011",1928-05-12,"Level",175.160003662109,NA
"379","02GG011",1928-05-13,"Level",175.160003662109,NA
"380","02GG011",1928-05-14,"Level",175.160003662109,NA
"381","02GG011",1928-05-15,"Level",175.149993896484,NA
"382","02GG011",1928-05-16,"Level",175.149993896484,NA
"383","02GG011",1928-05-17,"Level",175.160003662109,NA
"384","02GG011",1928-05-18,"Level",175.190002441406,NA
"385","02GG011",1928-05-19,"Level",175.199996948242,NA
"386","02GG011",1928-05-20,"Level",175.210006713867,NA
"387","02GG011",1928-05-21,"Level",175.210006713867,NA
"388","02GG011",1928-05-22,"Level",175.199996948242,NA
"389","02GG011",1928-05-23,"Level",175.199996948242,NA
"390","02GG011",1928-05-24,"Level",175.210006713867,NA
"391","02GG011",1928-05-25,"Level",175.190002441406,NA
"392","02GG011",1928-05-26,"Level",175.210006713867,NA
"393","02GG011",1928-05-27,"Level",175.190002441406,NA
"394","02GG011",1928-05-28,"Level",175.190002441406,NA
"395","02GG011",1928-05-29,"Level",175.199996948242,NA
"396","02GG011",1928-05-30,"Level",175.199996948242,NA
"397","02GG011",1928-05-31,"Level",175.199996948242,NA
"398","02GG011",1928-06-01,"Level",175.199996948242,NA
"399","02GG011",1928-06-02,"Level",175.210006713867,NA
"400","02GG011",1928-06-03,"Level",175.199996948242,NA
"401","02GG011",1928-06-04,"Level",175.190002441406,NA
"402","02GG011",1928-06-05,"Level",175.210006713867,NA
"403","02GG011",1928-06-06,"Level",175.25,NA
"404","02GG011",1928-06-07,"Level",175.259994506836,NA
"405","02GG011",1928-06-08,"Level",175.270004272461,NA
"406","02GG011",1928-06-09,"Level",175.279998779297,NA
"407","02GG011",1928-06-10,"Level",175.270004272461,NA
"408","02GG011",1928-06-11,"Level",175.259994506836,NA
"409","02GG011",1928-06-12,"Level",175.25,NA
"410","02GG011",1928-06-13,"Level",175.259994506836,NA
"411","02GG011",1928-06-14,"Level",175.259994506836,NA
"412","02GG011",1928-06-15,"Level",175.240005493164,NA
"413","02GG011",1928-06-16,"Level",175.240005493164,NA
"414","02GG011",1928-06-17,"Level",175.240005493164,NA
"415","02GG011",1928-06-18,"Level",175.25,NA
"416","02GG011",1928-06-19,"Level",175.270004272461,NA
"417","02GG011",1928-06-20,"Level",175.270004272461,NA
"418","02GG011",1928-06-21,"Level",175.279998779297,NA
"419","02GG011",1928-06-22,"Level",175.300003051758,NA
"420","02GG011",1928-06-23,"Level",175.309997558594,NA
"421","02GG011",1928-06-24,"Level",175.309997558594,NA
"422","02GG011",1928-06-25,"Level",175.339996337891,NA
"423","02GG011",1928-06-26,"Level",175.339996337891,NA
"424","02GG011",1928-06-27,"Level",175.309997558594,NA
"425","02GG011",1928-06-28,"Level",175.320007324219,NA
"426","02GG011",1928-06-29,"Level",175.360000610352,NA
"427","02GG011",1928-06-30,"Level",175.380004882812,NA
"428","02GG011",1928-07-01,"Level",175.389999389648,NA
"429","02GG011",1928-07-02,"Level",175.380004882812,NA
"430","02GG011",1928-07-03,"Level",175.380004882812,NA
"431","02GG011",1928-07-04,"Level",175.380004882812,NA
"432","02GG011",1928-07-05,"Level",175.380004882812,NA
"433","02GG011",1928-07-06,"Level",175.369995117188,NA
"434","02GG011",1928-07-07,"Level",175.369995117188,NA
"435","02GG011",1928-07-08,"Level",175.360000610352,NA
"436","02GG011",1928-07-09,"Level",175.369995117188,NA
"437","02GG011",1928-07-10,"Level",175.380004882812,NA
"438","02GG011",1928-07-11,"Level",175.369995117188,NA
"439","02GG011",1928-07-12,"Level",175.369995117188,NA
"440","02GG011",1928-07-13,"Level",175.369995117188,NA
"441","02GG011",1928-07-14,"Level",175.410003662109,NA
"442","02GG011",1928-07-15,"Level",175.410003662109,NA
"443","02GG011",1928-07-16,"Level",175.399993896484,NA
"444","02GG011",1928-07-17,"Level",175.389999389648,NA
"445","02GG011",1928-07-18,"Level",175.399993896484,NA
"446","02GG011",1928-07-19,"Level",175.399993896484,NA
"447","02GG011",1928-07-20,"Level",175.410003662109,NA
"448","02GG011",1928-07-21,"Level",175.410003662109,NA
"449","02GG011",1928-07-22,"Level",175.419998168945,NA
"450","02GG011",1928-07-23,"Level",175.429992675781,NA
"451","02GG011",1928-07-24,"Level",175.419998168945,NA
"452","02GG011",1928-07-25,"Level",175.419998168945,NA
"453","02GG011",1928-07-26,"Level",175.410003662109,NA
"454","02GG011",1928-07-27,"Level",175.410003662109,NA
"455","02GG011",1928-07-28,"Level",175.419998168945,NA
"456","02GG011",1928-07-29,"Level",175.419998168945,NA
"457","02GG011",1928-07-30,"Level",175.410003662109,NA
"458","02GG011",1928-07-31,"Level",175.410003662109,NA
"459","02GG011",1928-08-01,"Level",175.399993896484,NA
"460","02GG011",1928-08-02,"Level",175.389999389648,NA
"461","02GG011",1928-08-03,"Level",175.399993896484,NA
"462","02GG011",1928-08-04,"Level",175.410003662109,NA
"463","02GG011",1928-08-05,"Level",175.429992675781,NA
"464","02GG011",1928-08-06,"Level",175.429992675781,NA
"465","02GG011",1928-08-07,"Level",175.419998168945,NA
"466","02GG011",1928-08-08,"Level",175.429992675781,NA
"467","02GG011",1928-08-09,"Level",175.419998168945,NA
"468","02GG011",1928-08-10,"Level",175.429992675781,NA
"469","02GG011",1928-08-11,"Level",175.419998168945,NA
"470","02GG011",1928-08-12,"Level",175.410003662109,NA
"471","02GG011",1928-08-13,"Level",175.410003662109,NA
"472","02GG011",1928-08-14,"Level",175.410003662109,NA
"473","02GG011",1928-08-15,"Level",175.410003662109,NA
"474","02GG011",1928-08-16,"Level",175.399993896484,NA
"475","02GG011",1928-08-17,"Level",175.410003662109,NA
"476","02GG011",1928-08-18,"Level",175.410003662109,NA
"477","02GG011",1928-08-19,"Level",175.410003662109,NA
"478","02GG011",1928-08-20,"Level",175.399993896484,NA
"479","02GG011",1928-08-21,"Level",175.399993896484,NA
"480","02GG011",1928-08-22,"Level",175.389999389648,NA
"481","02GG011",1928-08-23,"Level",175.389999389648,NA
"482","02GG011",1928-08-24,"Level",175.399993896484,NA
"483","02GG011",1928-08-25,"Level",175.399993896484,NA
"484","02GG011",1928-08-26,"Level",175.389999389648,NA
