Year,Month,Day,PRCP,SNOW,Total Precip (mm),,
1980,3,31,9.9,0,9.9,,
1980,4,1,0,0,0,,
1980,4,2,0,0,0,,
1980,4,3,13.05,0,13.05,,
1980,4,4,0.8,0,0.8,,
1980,4,5,0.1,0,0.1,,
1980,4,6,0,0,0,,
1980,4,7,1.3,0,1.3,,
1980,4,8,18.5,0,18.5,,
1980,4,9,4.95,0,4.95,,
1980,4,10,1.6,0,1.6,,
1980,4,11,1.5,0,1.5,,
1980,4,12,7.7,0,7.7,,
1980,4,13,4.6,0,4.6,,
1980,4,14,23.3,0,23.3,,
1980,4,15,1.6,0,1.6,,
1980,4,16,0,0,0,,
1980,4,17,0.2,0,0.2,,
1980,4,18,0,0,0,,
1980,4,19,0.8,0,0.8,,
1980,4,20,0,0,0,,
1980,4,21,0,0,0,,
1980,4,22,0,0,0,,
1980,4,23,0,0,0,,
1980,4,24,0.2,0,0.2,,
1980,4,25,0.1,0,0.1,,
1980,4,26,0.1,0,0.1,,
1980,4,27,11.7,0,11.7,,
1980,4,28,12.25,0,12.25,,
1980,4,29,5.3,0,5.3,,
1980,4,30,0.3,0,0.3,,
1980,5,1,0,0,0,,
1980,5,2,0.1,0,0.1,,
1980,5,3,1.1,0,1.1,,
1980,5,4,0,0,0,,
1980,5,5,0.5,0,0.5,,
1980,5,6,1.9,0,1.9,,
1980,5,7,0,0,0,,
1980,5,8,0.1,0,0.1,,
1980,5,9,0,0,0,,
1980,5,10,1.9,0,1.9,,
1980,5,11,0.7,0,0.7,,
1980,5,12,9.1,0,9.1,,
1980,5,13,5.3,0,5.3,,
1980,5,14,0.7,0,0.7,,
1980,5,15,0,0,0,,
1980,5,16,0,0,0,,
1980,5,17,18.4,0,18.4,,
1980,5,18,1,0,1,,
1980,5,19,0.1,0,0.1,,
1980,5,20,0,0,0,,
1980,5,21,0,0,0,,
1980,5,22,0,0,0,,
1980,5,23,0,0,0,,
1980,5,24,0,0,0,,
1980,5,25,0,0,0,,
1980,5,26,0,0,0,,
1980,5,27,0,0,0,,
1980,5,28,0.2,0,0.2,,
1980,5,29,0,0,0,,
1980,5,30,2.1,0,2.1,,
1980,5,31,0.7,0,0.7,,
1980,6,1,6.4,0,6.4,,
1980,6,2,9.15,0,9.15,,
1980,6,3,1.1,0,1.1,,
1980,6,4,0,0,0,,
1980,6,5,0,0,0,,
1980,6,6,5,0,5,,
1980,6,7,19.5,0,19.5,,
1980,6,8,0.2,0,0.2,,
1980,6,9,4.2,0,4.2,,
1980,6,10,0.1,0,0.1,,
1980,6,11,0,0,0,,
1980,6,12,0,0,0,,
1980,6,13,0,0,0,,
1980,6,14,0.4,0,0.4,,
1980,6,15,9.5,0,9.5,,
1980,6,16,0,0,0,,
1980,6,17,0,0,0,,
1980,6,18,0.6,0,0.6,,
1980,6,19,21.8,0,21.8,,
1980,6,20,5.2,0,5.2,,
1980,6,21,0,0,0,,
1980,6,22,0,0,0,,
1980,6,23,0,0,0,,
1980,6,24,0,0,0,,
1980,6,25,0,0,0,,
1980,6,26,0,0,0,,
1980,6,27,0,0,0,,
1980,6,28,16.5,0,16.5,,
1980,6,29,0.35,0,0.35,,
1980,6,30,0.1,0,0.1,,
1980,7,1,0.2,0,0.2,,
1980,7,2,0,0,0,,
1980,7,3,0,0,0,,
1980,7,4,1.2,0,1.2,,
1980,7,5,2.9,0,2.9,,
1980,7,6,0,0,0,,
1980,7,7,6,0,6,,
1980,7,8,0,0,0,,
1980,7,9,0.2,0,0.2,,
1980,7,10,0,0,0,,
1980,7,11,0,0,0,,
1980,7,12,0,0,0,,
1980,7,13,0,0,0,,
1980,7,14,0,0,0,,
1980,7,15,1.5,0,1.5,,
1980,7,16,1.2,0,1.2,,
1980,7,17,0,0,0,,
1980,7,18,13.2,0,13.2,,
1980,7,19,0.2,0,0.2,,
1980,7,20,0.1,0,0.1,,
1980,7,21,39.9,0,39.9,,
1980,7,22,10.5,0,10.5,,
1980,7,23,8.5,0,8.5,,
1980,7,24,0,0,0,,
1980,7,25,0,0,0,,
1980,7,26,0,0,0,,
1980,7,27,13.6,0,13.6,,
1980,7,28,6.4,0,6.4,,
1980,7,29,0.8,0,0.8,,
1980,7,30,0,0,0,,
1980,7,31,0.5,0,0.5,,
1980,8,1,0,0,0,,
1980,8,2,64.2,0,64.2,,
1980,8,3,0.1,0,0.1,,
1980,8,4,0,0,0,,
1980,8,5,6.35,0,6.35,,
1980,8,6,0,0,0,,
1980,8,7,0,0,0,,
1980,8,8,0.2,0,0.2,,
1980,8,9,0,0,0,,
1980,8,10,5,0,5,,
1980,8,11,3.3,0,3.3,,
1980,8,12,0,0,0,,
1980,8,13,0.45,0,0.45,,
1980,8,14,0,0,0,,
1980,8,15,0,0,0,,
1980,8,16,0,0,0,,
1980,8,17,0,0,0,,
1980,8,18,0,0,0,,
1980,8,19,2,0,2,,
1980,8,20,0,0,0,,
1980,8,21,0,0,0,,
1980,8,22,0.15,0,0.15,,
1980,8,23,0,0,0,,
1980,8,24,0,0,0,,
1980,8,25,0,0,0,,
1980,8,26,0,0,0,,
1980,8,27,0,0,0,,
1980,8,28,0,0,0,,
1980,8,29,0.8,0,0.8,,
1980,8,30,2.1,0,2.1,,
1980,8,31,16.6,0,16.6,,
1980,9,1,52.7,0,52.7,,
1980,9,2,15,0,15,,
1980,9,3,0,0,0,,
1980,9,4,0,0,0,,
1980,9,5,0,0,0,,
1980,9,6,0,0,0,,
1980,9,7,0,0,0,,
1980,9,8,0,0,0,,
1980,9,9,6.05,0,6.05,,
1980,9,10,0,0,0,,
1980,9,11,0.2,0,0.2,,
1980,9,12,0.5,0,0.5,,
1980,9,13,23.1,0,23.1,,
1980,9,14,2.5,0,2.5,,
1980,9,15,0,0,0,,
1980,9,16,6.6,0,6.6,,
1980,9,17,0.8,0,0.8,,
1980,9,18,0,0,0,,
1980,9,19,0,0,0,,
1980,9,20,0.5,0,0.5,,
1980,9,21,1.6,0,1.6,,
1980,9,22,16.1,0,16.1,,
1980,9,23,0.2,0,0.2,,
1980,9,24,0,0,0,,
1980,9,25,10.7,0,10.7,,
1980,9,26,0,0,0,,
1980,9,27,0,0,0,,
1980,9,28,0,0,0,,
1980,9,29,0,0,0,,
1980,9,30,0,0,0,,
1980,10,1,1.6,0,1.6,,
1980,10,2,4.3,0,4.3,,
1980,10,3,22.7,0,22.7,,
1980,10,4,0.5,0,0.5,,
1980,10,5,0,0,0,,
1980,10,6,4.2,0,4.2,,
1980,10,7,0,0,0,,
1980,10,8,0,0,0,,
1980,10,9,0,0,0,,
1980,10,10,0,0,0,,
1980,10,11,8.3,0,8.3,,
1980,10,12,0.2,0,0.2,,
1980,10,13,0.1,0,0.1,,
1980,10,14,6.8,0,6.8,,
1980,10,15,0.4,0,0.4,,
1980,10,16,0.9,0,0.9,,
1980,10,17,4.6,0,4.6,,
1980,10,18,2.7,0,2.7,,
1980,10,19,0.4,0,0.4,,
1980,10,20,2.2,0,2.2,,
1980,10,21,0,0,0,,
1980,10,22,0,0,0,,
1980,10,23,0,0,0,,
1980,10,24,7.7,0,7.7,,
1980,10,25,27.8,0,27.8,,
1980,10,26,0,0,0,,
1980,10,27,4.2,0,4.2,,
1980,10,28,0,0,0,,
1980,10,29,0.1,0,0.1,,
1980,10,30,0,0,0,,
1980,10,31,0,0,0,,
1980,11,1,0,0,0,,
1980,11,2,0,0,0,,
1980,11,3,3,0,3,,
1980,11,4,2.5,0,2.5,,
1980,11,5,0,0,0,,
1980,11,6,2.6,0,2.6,,
1980,11,7,9.6,0,9.6,,
1980,11,8,1.6,0,1.6,,
1980,11,9,0.9,0,0.9,,
1980,11,10,0,0,0,,
1980,11,11,0,0,0,,
1980,11,12,0,0,0,,
1980,11,13,4.4,0,4.4,,
1980,11,14,0.5,0,0.5,,
1980,11,15,0,0,0,,
1980,11,16,0,0,0,,
1980,11,17,0,3,3,,
1980,11,18,0,0,0,,
1980,11,19,0,0,0,,
1980,11,20,0,0,0,,
1980,11,21,3,0,3,,
1980,11,22,0,0,0,,
1980,11,23,3,0,3,,
1980,11,24,8.3,0,8.3,,
1980,11,25,0,0,0,,
1980,11,26,0,0,0,,
1980,11,27,4.8,1.6,6.4,,
1980,11,28,7.7,0.5,8.2,,
1980,11,29,0.2,0,0.2,,
1980,11,30,0,0,0,,
1980,12,1,7.5,0,7.5,,
1980,12,2,8.6,5.1,13.7,,
1980,12,3,0,0,0,,
1980,12,4,0,0,0,,
1980,12,5,0,0,0,,
1980,12,6,0.3,0,0.3,,
1980,12,7,4.1,0,4.1,,
1980,12,8,8,0,8,,
1980,12,9,0.6,1.7,2.3,,
1980,12,10,0,0,0,,
1980,12,11,0,0.1,0.1,,
1980,12,12,0.3,0,0.3,,
1980,12,13,0,0.1,0.1,,
1980,12,14,0,0.2,0.2,,
1980,12,15,0,2.1,2.1,,
1980,12,16,0,1.7,1.7,,
1980,12,17,0,0,0,,
1980,12,18,0,1.95,1.95,,
1980,12,19,0,0,0,,
1980,12,20,0,0,0,,
1980,12,21,0,0,0,,
1980,12,22,0,0.5,0.5,,
1980,12,23,0,0.1,0.1,,
1980,12,24,0,4.7,4.7,,
1980,12,25,0,2.8,2.8,,
1980,12,26,0,0.3,0.3,,
1980,12,27,0,0,0,,
1980,12,28,0,0,0,,
1980,12,29,0.3,0.7,1,,
1980,12,30,0,0,0,,
1980,12,31,0,0,0,,
1981,1,1,0,6.6,6.6,,
1981,1,2,0,3.2,3.2,,
1981,1,3,0,0,0,,
1981,1,4,0,1.4,1.4,,
1981,1,5,0,2.4,2.4,,
1981,1,6,0,12.4,12.4,,
1981,1,7,0,0,0,,
1981,1,8,0,3.8,3.8,,
1981,1,9,0,2.8,2.8,,
1981,1,10,0,1.6,1.6,,
1981,1,11,0,0,0,,
1981,1,12,0,0.8,0.8,,
1981,1,13,0,0,0,,
1981,1,14,0,0,0,,
1981,1,15,0,2,2,,
1981,1,16,0,4.6,4.6,,
1981,1,17,0,0.6,0.6,,
1981,1,18,0,0.6,0.6,,
1981,1,19,0,0,0,,
1981,1,20,0,0,0,,
1981,1,21,0,0,0,,
1981,1,22,0,1.2,1.2,,
1981,1,23,0,0.2,0.2,,
1981,1,24,0,0,0,,
1981,1,25,0,0,0,,
1981,1,26,0,0,0,,
1981,1,27,0,4.9,4.9,,
1981,1,28,0,3.6,3.6,,
1981,1,29,0,2,2,,
1981,1,30,0,0,0,,
1981,1,31,0,0,0,,
1981,2,1,17,2,19,,
1981,2,2,0,3.6,3.6,,
1981,2,3,0,13.8,13.8,,
1981,2,4,0,3.2,3.2,,
1981,2,5,0,0,0,,
1981,2,6,0,0.4,0.4,,
1981,2,7,0,0,0,,
1981,2,8,0,2.6,2.6,,
1981,2,9,0,2.8,2.8,,
1981,2,10,4.6,0,4.6,,
1981,2,11,1.2,6.4,7.6,,
1981,2,12,0,0,0,,
1981,2,13,0,0,0,,
1981,2,14,0,0,0,,
1981,2,15,0,0,0,,
1981,2,16,5.4,0,5.4,,
1981,2,17,0,0,0,,
1981,2,18,6.4,0,6.4,,
1981,2,19,20.4,0,20.4,,
1981,2,20,6,0,6,,
1981,2,21,1.2,0,1.2,,
1981,2,22,1,0,1,,
1981,2,23,8,0,8,,
1981,2,24,1,0,1,,
1981,2,25,0,0,0,,
1981,2,26,0,0,0,,
1981,2,27,0,5,5,,
1981,2,28,0,0,0,,
1981,3,1,0,0,0,,
1981,3,2,0,0,0,,
1981,3,3,0,0,0,,
1981,3,4,0,0,0,,
1981,3,5,0,0,0,,
1981,3,6,0,0,0,,
1981,3,7,0,0,0,,
1981,3,8,0,0,0,,
1981,3,9,0,1.2,1.2,,
1981,3,10,0,0.6,0.6,,
1981,3,11,0,1,1,,
1981,3,12,1.2,0,1.2,,
1981,3,13,0.6,0,0.6,,
1981,3,14,0,0,0,,
1981,3,15,0,0.4,0.4,,
1981,3,16,0,3.2,3.2,,
1981,3,17,0,1.2,1.2,,
1981,3,18,0,0.6,0.6,,
1981,3,19,0,6.2,6.2,,
1981,3,20,0,0,0,,
1981,3,21,0,0,0,,
1981,3,22,0,0,0,,
1981,3,23,0,0,0,,
1981,3,24,0,0,0,,
1981,3,25,0,0,0,,
1981,3,26,10.6,0,10.6,,
1981,3,27,0,0,0,,
1981,3,28,0,0,0,,
1981,3,29,6.4,0,6.4,,
1981,3,30,3.8,0,3.8,,
1981,3,31,0,0,0,,
1981,4,1,0.3,0,0.3,,
1981,4,2,0,0,0,,
1981,4,3,0,0,0,,
1981,4,4,8.1,0,8.1,,
1981,4,5,0,0,0,,
1981,4,6,0,0,0,,
1981,4,7,0,0,0,,
1981,4,8,1.2,0,1.2,,
1981,4,9,2.3,0,2.3,,
1981,4,10,1.1,0,1.1,,
1981,4,11,0.6,0,0.6,,
1981,4,12,6.4,0,6.4,,
1981,4,13,17.5,0,17.5,,
1981,4,14,3.3,0,3.3,,
1981,4,15,0,0,0,,
1981,4,16,3.5,0,3.5,,
1981,4,17,8.4,0,8.4,,
1981,4,18,0,0,0,,
1981,4,19,0.8,0,0.8,,
1981,4,20,0,0,0,,
1981,4,21,0,0,0,,
1981,4,22,13.1,0,13.1,,
1981,4,23,10.9,0,10.9,,
1981,4,24,1.7,0,1.7,,
1981,4,25,0,0,0,,
1981,4,26,0,0,0,,
1981,4,27,9.6,0,9.6,,
1981,4,28,16,0,16,,
1981,4,29,1.2,0,1.2,,
1981,4,30,0,0,0,,
1981,5,1,0,0,0,,
1981,5,2,0,0,0,,
1981,5,3,0,0,0,,
1981,5,4,0,0,0,,
1981,5,5,15,0,15,,
1981,5,6,0,0,0,,
1981,5,7,0,0,0,,
1981,5,8,0,0,0,,
1981,5,9,0.8,0,0.8,,
1981,5,10,8.4,0,8.4,,
1981,5,11,9.9,0,9.9,,
1981,5,12,0,0,0,,
1981,5,13,0,0,0,,
1981,5,14,4.7,0,4.7,,
1981,5,15,3.1,0,3.1,,
1981,5,16,0,0,0,,
1981,5,17,0,0,0,,
1981,5,18,0,0,0,,
1981,5,19,0,0,0,,
1981,5,20,0,0,0,,
1981,5,21,0,0,0,,
1981,5,22,0,0,0,,
1981,5,23,0,0,0,,
1981,5,24,0,0,0,,
1981,5,25,0.1,0,0.1,,
1981,5,26,0.6,0,0.6,,
1981,5,27,24.5,0,24.5,,
1981,5,28,0.3,0,0.3,,
1981,5,29,0,0,0,,
1981,5,30,4.8,0,4.8,,
1981,5,31,0,0,0,,
1981,6,1,0,0,0,,
1981,6,2,0.2,0,0.2,,
1981,6,3,14.8,0,14.8,,
1981,6,4,0,0,0,,
1981,6,5,0.2,0,0.2,,
1981,6,6,0,0,0,,
1981,6,7,0,0,0,,
1981,6,8,9.4,0,9.4,,
1981,6,9,0,0,0,,
1981,6,10,1.7,0,1.7,,
1981,6,11,0,0,0,,
1981,6,12,0,0,0,,
1981,6,13,3.4,0,3.4,,
1981,6,14,2,0,2,,
1981,6,15,0,0,0,,
1981,6,16,4.2,0,4.2,,
1981,6,17,0,0,0,,
1981,6,18,0,0,0,,
1981,6,19,0,0,0,,
1981,6,20,18.9,0,18.9,,
1981,6,21,40.9,0,40.9,,
1981,6,22,4.8,0,4.8,,
1981,6,23,0.1,0,0.1,,
1981,6,24,11.7,0,11.7,,
1981,6,25,0.4,0,0.4,,
1981,6,26,0,0,0,,
1981,6,27,0,0,0,,
1981,6,28,0,0,0,,
1981,6,29,0,0,0,,
1981,6,30,5,0,5,,
1981,7,1,0.1,0,0.1,,
1981,7,2,0.5,0,0.5,,
1981,7,3,0,0,0,,
1981,7,4,0,0,0,,
1981,7,5,5.3,0,5.3,,
1981,7,6,0,0,0,,
1981,7,7,0,0,0,,
1981,7,8,0,0,0,,
1981,7,9,0.9,0,0.9,,
1981,7,10,0,0,0,,
1981,7,11,0,0,0,,
1981,7,12,0,0,0,,
1981,7,13,0,0,0,,
1981,7,14,0,0,0,,
1981,7,15,0,0,0,,
1981,7,16,0,0,0,,
1981,7,17,0,0,0,,
1981,7,18,5.8,0,5.8,,
1981,7,19,34.5,0,34.5,,
1981,7,20,6.6,0,6.6,,
1981,7,21,3.5,0,3.5,,
1981,7,22,0,0,0,,
1981,7,23,0,0,0,,
1981,7,24,0,0,0,,
1981,7,25,0.7,0,0.7,,
1981,7,26,5.3,0,5.3,,
1981,7,27,3.9,0,3.9,,
1981,7,28,17.5,0,17.5,,
1981,7,29,0.7,0,0.7,,
1981,7,30,0,0,0,,
1981,7,31,0,0,0,,
1981,8,1,0,0,0,,
1981,8,2,0,0,0,,
1981,8,3,2.8,0,2.8,,
1981,8,4,1.5,0,1.5,,
1981,8,5,0,0,0,,
1981,8,6,0,0,0,,
1981,8,7,3.8,0,3.8,,
1981,8,8,4.3,0,4.3,,
1981,8,9,0,0,0,,
1981,8,10,38.3,0,38.3,,
1981,8,11,2.3,0,2.3,,
1981,8,12,0,0,0,,
1981,8,13,0,0,0,,
1981,8,14,5.8,0,5.8,,
1981,8,15,5,0,5,,
1981,8,16,0,0,0,,
1981,8,17,0,0,0,,
1981,8,18,0,0,0,,
1981,8,19,0,0,0,,
1981,8,20,0,0,0,,
1981,8,21,0,0,0,,
1981,8,22,0,0,0,,
1981,8,23,2,0,2,,
1981,8,24,0,0,0,,
1981,8,25,0,0,0,,
1981,8,26,0,0,0,,
1981,8,27,0.3,0,0.3,,
1981,8,28,6.6,0,6.6,,
1981,8,29,4,0,4,,
1981,8,30,3.4,0,3.4,,
1981,8,31,0,0,0,,
1981,9,1,6.3,0,6.3,,
1981,9,2,4.3,0,4.3,,
1981,9,3,10.5,0,10.5,,
1981,9,4,2.3,0,2.3,,
1981,9,5,7.1,0,7.1,,
1981,9,6,4.5,0,4.5,,
1981,9,7,4.4,0,4.4,,
1981,9,8,8.8,0,8.8,,
1981,9,9,0,0,0,,
1981,9,10,0,0,0,,
1981,9,11,0.1,0,0.1,,
1981,9,12,0,0,0,,
1981,9,13,12.1,0,12.1,,
1981,9,14,0.2,0,0.2,,
1981,9,15,0,0,0,,
1981,9,16,18.9,0,18.9,,
1981,9,17,16.5,0,16.5,,
1981,9,18,3.8,0,3.8,,
1981,9,19,4.3,0,4.3,,
1981,9,20,0,0,0,,
1981,9,21,24.7,0,24.7,,
1981,9,22,0.7,0,0.7,,
1981,9,23,0,0,0,,
1981,9,24,0,0,0,,
1981,9,25,2.3,0,2.3,,
1981,9,26,0.4,0,0.4,,
1981,9,27,0.2,0,0.2,,
1981,9,28,0,0,0,,
1981,9,29,0,0,0,,
1981,9,30,16.8,0,16.8,,
1981,10,1,10.4,0,10.4,,
1981,10,2,2.8,0,2.8,,
1981,10,3,0,0,0,,
1981,10,4,0,0,0,,
1981,10,5,4.5,0,4.5,,
1981,10,6,2.7,0,2.7,,
1981,10,7,0,0,0,,
1981,10,8,0,0,0,,
1981,10,9,0,0,0,,
1981,10,10,0,0,0,,
1981,10,11,0,0,0,,
1981,10,12,0,0,0,,
1981,10,13,0,0,0,,
1981,10,14,0,0,0,,
1981,10,15,0.3,0,0.3,,
1981,10,16,0,0,0,,
1981,10,17,3.8,0,3.8,,
1981,10,18,2.5,0,2.5,,
1981,10,19,0,0,0,,
1981,10,20,0.1,0,0.1,,
1981,10,21,3.6,0,3.6,,
1981,10,22,10.8,0,10.8,,
1981,10,23,0.3,0,0.3,,
1981,10,24,0,0,0,,
1981,10,25,10,0,10,,
1981,10,26,8.5,0,8.5,,
1981,10,27,5.2,0,5.2,,
1981,10,28,0,0,0,,
1981,10,29,0,0,0,,
1981,10,30,0,0,0,,
1981,10,31,0,0,0,,
1981,11,1,0,0,0,,
1981,11,2,0,0,0,,
1981,11,3,0,0,0,,
1981,11,4,0.2,0,0.2,,
1981,11,5,4.5,0,4.5,,
1981,11,6,3.9,1.3,5.2,,
1981,11,7,0,0,0,,
1981,11,8,0,0,0,,
1981,11,9,0,0,0,,
1981,11,10,0,0,0,,
1981,11,11,0,0,0,,
1981,11,12,0,0,0,,
1981,11,13,0,0,0,,
1981,11,14,0,0,0,,
1981,11,15,6.8,0,6.8,,
1981,11,16,4.6,0,4.6,,
1981,11,17,1.9,0,1.9,,
1981,11,18,0,0,0,,
1981,11,19,14.8,0,14.8,,
1981,11,20,6.1,0,6.1,,
1981,11,21,1,0,1,,
1981,11,22,0,0,0,,
1981,11,23,0,0,0,,
1981,11,24,0,0,0,,
1981,11,25,0,0,0,,
1981,11,26,4.2,0,4.2,,
1981,11,27,0,0,0,,
1981,11,28,0,0,0,,
1981,11,29,0,0,0,,
1981,11,30,6,0,6,,
1981,12,1,4.5,0,4.5,,
1981,12,2,6,0,6,,
1981,12,3,0.3,0,0.3,,
1981,12,4,0.6,0,0.6,,
1981,12,5,0,0,0,,
1981,12,6,0,0,0,,
1981,12,7,5.6,0,5.6,,
1981,12,8,0.6,5.5,6.1,,
1981,12,9,0,0,0,,
1981,12,10,0.1,12,12.1,,
1981,12,11,0,0,0,,
1981,12,12,0,0,0,,
1981,12,13,0,0,0,,
1981,12,14,0,0,0,,
1981,12,15,0,0,0,,
1981,12,16,0,0.6,0.6,,
1981,12,17,0,3.2,3.2,,
1981,12,18,0,0,0,,
1981,12,19,0,0,0,,
1981,12,20,0,0,0,,
1981,12,21,0,1.8,1.8,,
1981,12,22,15.2,0,15.2,,
1981,12,23,0.6,0,0.6,,
1981,12,24,0,0,0,,
1981,12,25,0,0,0,,
1981,12,26,0,0,0,,
1981,12,27,0.8,10,11.6,,
1981,12,28,0,7,7,,
1981,12,29,0,0,0,,
1981,12,30,0,0,0,,
1981,12,31,9,0,9,,
1982,1,1,0,0,0,,
1982,1,2,0,0,0,,
1982,1,3,7,0,7,,
1982,1,4,2.4,0,2.4,,
1982,1,5,0,0,0,,
1982,1,6,0,4,4,,
1982,1,7,0,0,0,,
1982,1,8,0,0,0,,
1982,1,9,0,0,0,,
1982,1,10,0,2,2,,
1982,1,11,0,1,1,,
1982,1,12,0,0,0,,
1982,1,13,0,2.6,2.6,,
1982,1,14,0,1,1,,
1982,1,15,0,3,3,,
1982,1,16,0,4.2,4.2,,
1982,1,17,0,0.8,0.8,,
1982,1,18,0,0.2,0.2,,
1982,1,19,0,0,0,,
1982,1,20,0,4,4,,
1982,1,21,0,3,3,,
1982,1,22,0,0,0,,
1982,1,23,2.2,5,7.2,,
1982,1,24,0,2,2,,
1982,1,25,0,0,0,,
1982,1,26,0,0,0,,
1982,1,27,0,0,0,,
1982,1,28,0,0,0,,
1982,1,29,0,2.6,2.6,,
1982,1,30,0.4,1.2,1.6,,
1982,1,31,0,14,14,,
1982,2,1,0,3.6,3.6,,
1982,2,2,1.4,0,1.4,,
1982,2,3,5.8,3,8.8,,
1982,2,4,0,0,0,,
1982,2,5,0,4,4,,
1982,2,6,0,4,4,,
1982,2,7,0,0,0,,
1982,2,8,0,8.6,8.6,,
1982,2,9,0,0,0,,
1982,2,10,0,0.8,0.8,,
1982,2,11,0,0,0,,
1982,2,12,0,2.2,2.2,,
1982,2,13,0,8.8,8.8,,
1982,2,14,0,0,0,,
1982,2,15,0,0,0,,
1982,2,16,0,0,0,,
1982,2,17,0,0,0,,
1982,2,18,2.8,0,2.8,,
1982,2,19,0.8,0.4,1.2,,
1982,2,20,3,0,3,,
1982,2,21,1.4,0,1.4,,
1982,2,22,0,0,0,,
1982,2,23,0,0,0,,
1982,2,24,0,4.1,4.1,,
1982,2,25,0,0,0,,
1982,2,26,0,0,0,,
1982,2,27,0,0,0,,
1982,2,28,0,0,0,,
1982,3,1,0,0,0,,
1982,3,2,0,0,0,,
1982,3,3,0,0,0,,
1982,3,4,1,1,2,,
1982,3,5,0,0,0,,
1982,3,6,0,2.4,2.4,,
1982,3,7,0,0,0,,
1982,3,8,0,7.4,7.4,,
1982,3,9,0,0,0,,
1982,3,10,1.4,0,1.4,,
1982,3,11,7.2,0,7.2,,
1982,3,12,3.2,0,3.2,,
1982,3,13,0,0,0,,
1982,3,14,0,0,0,,
1982,3,15,0,0,0,,
1982,3,16,10.6,0,10.6,,
1982,3,17,1,0,1,,
1982,3,18,0,0,0,,
1982,3,19,0,0,0,,
1982,3,20,0.6,0,0.6,,
1982,3,21,1.4,0,1.4,,
1982,3,22,0,0,0,,
1982,3,23,0,0,0,,
1982,3,24,0,0,0,,
1982,3,25,1.8,7.6,9.4,,
1982,3,26,0,1,1,,
1982,3,27,0,0,0,,
1982,3,28,0,0,0,,
1982,3,29,0,0,0,,
1982,3,30,16.4,0,16.4,,
1982,3,31,5.4,0,5.4,,
1982,4,1,0,0,0,,
1982,4,2,13.2,0,13.2,,
1982,4,3,2.4,0,2.4,,
1982,4,4,0,1.7,1.7,,
1982,4,5,0,2.6,2.6,,
1982,4,6,0,2,2,,
1982,4,7,0,0,0,,
1982,4,8,0,0,0,,
1982,4,9,0,0,0,,
